"PRESTON (MOOR PARK)",,,,,,,,,,,,
Grid ref,SD537311,Long,-2.704004,Lat,53.774166,,,,,,,
Station no,2955,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.13,3.58,1.71,3.88,2.50,4.17,2.99,3.43,2.61,5.39,,
February,2.59,1.29,1.17,2.84,1.75,0.46,2.58,6.45,0.47,2.28,,
March,4.78,1.77,0.88,2.15,1.27,1.23,2.99,1.58,1.79,1.23,,
April,2.07,3.07,2.68,1.36,1.94,1.69,0.42,1.29,2.15,1.98,,
May,1.99,2.01,2.12,2.41,2.45,2.00,2.21,4.77,1.35,2.13,,
June,1.94,3.55,1.94,4.11,3.18,1.73,1.48,4.12,3.30,0.94,,
July,2.11,1.90,4.55,5.80,1.23,4.63,5.07,3.22,3.98,5.69,,
August,4.64,5.73,4.41,5.77,1.00,12.39,5.18,3.92,0.64,5.49,,
September,2.81,4.69,4.44,6.27,3.27,3.56,6.59,5.73,0.46,3.34,,
October,1.62,2.64,1.65,8.42,2.41,2.84,6.15,3.50,4.09,2.52,,
November,7.93,2.27,4.73,5.94,1.62,1.74,1.27,2.02,5.24,8.17,,
December,8.64,3.92,1.76,5.16,4.36,3.70,4.54,3.21,6.73,4.32,,
Total,45.25,36.42,32.04,54.11,26.98,40.14,41.47,43.24,32.81,43.48,,
Calc annual,45.25,36.42,32.04,54.11,26.98,40.14,41.47,43.24,32.81,43.48,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,,
