WAENFAWR-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH524594,Long,-4.206577,Lat,53.111305,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4369/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,4.34,,,,,,,,,,,,8.89,7.66,5.48,2.83,6,7.01,6.93,10.85,4.35,2.73,6.06,6.76,,,,,,,
February,3.43,,,,,,,,,,,,0.18,3.52,0.8,8.31,4.03,6.54,1.94,6.06,4.8,7.75,2.06,,,,,,,,
March,8.56,,,,,,,,,,,,3.13,3.51,3.77,0.96,2.69,2.41,3.84,5.04,3.5,4.45,3.2,,,,,,,,
April,6.19,,,,,,,,,,,,3.6,1.53,3.51,3,1.16,4.63,0.56,2.74,3.3,2.43,2.45,,,,,,,,
May,6.3,,,,,,,,,,,,4.7,2.37,6.56,1.95,1.75,1.15,2.64,1.36,3.17,2.22,4.34,,,,,,,,
June,3.23,,,,,,,,,,,,2.23,3.87,1.98,9.62,4.67,3.6,7.71,3.7,2.47,0.69,0.42,,,,,,,,
July,11.85,,,,,,,,,,,,6.05,2.59,1.15,1.09,5.79,2.96,8.15,8.23,4.81,1.75,3.33,,,,,,,,
August,5.96,,,,,,,,,,,,1.32,2.84,6.62,2,3.09,1.82,3.57,3.07,0.96,3.58,3.6,,,,,,,,
September,5.18,,,,,,,,,,,,4.65,2.5,6.25,8.73,4.15,5.02,3.87,1.43,4.58,1.42,5.53,,,,,,,,
October,5.48,,,,,,,,,,,,7.85,6.59,8.61,7.7,3.59,7.13,8.04,4.22,6.08,5,5.66,,,,,,,,
November,3.99,,,,,,,,,,,,4.7,2.48,3.7,7.07,7.98,2.02,8.95,7.37,8.98,3.44,1.04,,,,,,,,
December,3.92,,,,,,,,,,,,5.61,1.96,10.1,2.53,9.06,5.09,7.15,4.2,5.72,2.72,5.98,,,,,,,,
Total,68.43,,,,,,,,,,,,52.91,41.42,58.53,55.79,53.96,49.38,63.35,58.27,52.72,38.18,43.67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
