LEWIS BERNERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NB149362,Long,-6.8572,Lat,58.2224,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,5.54,1.9,2.6,10.2,10.4,7.48,6.1,6.2,4.12,5.1,8.05,6.2,4.4,8.3,4.24,5.59,4.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.6,1.8,2.74,2.3,5.1,2.3,3.4,4.4,4.8,11.4,9.4,3.7,3.2,9.3,3.32,2.05,4.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.45,4,4.96,6.1,6.3,5.7,1.2,4.6,4.2,6.5,6.5,2.5,2.2,9.3,3.86,11.15,4.5,6.3,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.84,0.68,0.9,7.2,4.4,2.9,0.9,3.4,7.22,2.5,3.2,2.4,2.4,9.26,2.3,3.17,4.6,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1,0.7,1.53,8.4,6.1,4.1,2.5,2.6,2.1,2.8,3.8,1.8,5.5,9.6,2.75,1.83,5.4,4.1,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.73,1.88,2.18,9.2,6.4,6,3,1.1,3.9,3.2,2.35,2.4,2.8,10,6.51,1.78,2.3,2.2,14.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.86,3.9,5.8,10.2,7.3,6.3,3.2,1.2,2.1,2.3,6.5,1.8,6.9,9.55,5.03,9.07,3.4,2.15,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.7,3.28,9.8,11.4,10.1,6.5,4.5,2.6,2.74,6.3,8.5,1.9,2.8,8.55,4.03,5.2,3.2,2.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,4.25,4.8,7.9,9.3,11.2,10.2,6.4,4.8,7.43,1.8,9.2,3.9,5.5,8.8,5.07,7.5,3.3,3.9,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.9,3.4,5.6,10.1,12.1,9.4,1.2,6.5,2.8,3.4,10.6,3,4.2,9.6,5.3,13.31,4.3,3.15,13.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,4.26,3.9,6.2,6,11,10.6,4.8,9.1,2.6,2.3,7.4,2.2,4,6.4,3.06,8.5,4.3,5.25,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
