LOCH AILORT (INVERAILORT),,,,,,,,,,
Grid ref,NM763815,Long,-5.672252,Lat,56.870812,Elevation,0,ft,,
Station no,5719/4,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,15.61,12.53,4.65,8.23,6.32
February,,,,,,10.13,12.78,1.72,14.43,1.35
March,,,,,,7.44,2.15,3.22,3.1,3
April,,,,,,7.3,5.17,3.63,2.4,9.44
May,,,,,,1.11,4.59,4.1,5.1,1
June,,,,,,1.38,2.12,1.87,4.8,9.01
July,,,,,,5.69,5.15,2.5,7.55,2.5
August,,,,,,6.14,4.42,7.05,6.7,6.85
September,,,,,,1.94,4.31,7.08,10.11,10.71
October,,,,,,2.95,10.95,19.01,13.54,3.95
November,,,,,,5.5,12.17,14.68,8.52,7
December,,,,,,9.35,9.2,5.17,10.9,11.02
Total,,,,,,74.54,85.54,74.68,95.38,72.15
,,,,,,,,,,
Station no,5719/4,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
