"CAPSHOLM PUMPING STATION",,,,,,,,,,,,
Grid ref,TL683970,Long,0.480486,Lat,52.544838,,,,,,,
Station no,1460/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.75,1.70,0.99,1.28,1.29,3.22,1.80,1.80,2.29,2.50,,
February,1.79,0.80,1.06,2.51,2.71,2.04,1.81,2.66,0.17,1.32,,
March,3.12,2.44,0.45,2.19,2.05,0.64,1.98,0.85,1.55,1.16,,
April,2.81,1.53,1.66,0.28,0.57,0.86,0.27,0.85,1.71,0.63,,
May,1.95,1.56,1.86,2.67,1.98,0.82,1.24,2.50,1.12,0.45,,
June,0.88,2.32,3.97,1.89,2.13,1.84,1.66,2.92,1.36,2.17,,
July,0.73,0.84,2.77,2.67,0.15,2.66,3.34,3.84,3.14,3.55,,
August,3.98,3.61,2.38,4.21,0.85,3.56,1.59,3.54,1.55,3.51,,
September,2.52,2.50,1.15,2.43,1.56,0.96,4.08,2.63,0.10,2.68,,
October,1.08,1.69,2.23,2.12,2.21,1.39,1.46,2.00,1.78,3.56,,
November,2.40,2.48,1.55,3.78,1.33,1.34,1.27,1.47,1.27,3.63,,
December,1.28,1.60,0.92,1.91,1.69,1.84,2.96,2.99,3.60,2.78,,
Total,25.29,23.07,20.99,27.94,18.52,21.17,23.46,28.05,19.64,27.94,,
Calc annual,25.29,23.07,20.99,27.94,18.52,21.17,23.46,28.05,19.64,27.94,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
