CATSHOLM-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL683970,Long,0.480486,Lat,52.544838,Elevation,5,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1460/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.58,0.69,1.81,2.25,3.05,2.06,2.04,0.85,1.87,3.8,0.99,0.83,2.75,1.7,0.99,1.28,1.29,3.22,1.8,1.8,2.29,2.5
February,,,,,,,,,1.03,2.48,2.52,0.27,1.45,0.82,2.03,2.06,0.93,0.75,1.53,3.19,1.79,0.8,1.06,2.51,2.71,2.04,1.81,2.66,0.17,1.32
March,,,,,,,,,2.19,2.6,3.76,1.31,0.35,0.28,1.46,0.69,4.13,0.36,1.08,0.58,3.12,2.44,0.45,2.19,2.05,0.64,1.98,0.85,1.55,1.16
April,,,,,,,,,1.68,2,1.03,1.01,0.84,1.44,1.06,0.79,1.42,0.77,1.63,1.97,2.81,1.53,1.66,0.28,0.57,0.86,0.27,0.85,1.71,0.63
May,,,,,,,,,2.59,2.42,1.08,1.82,1.63,1.17,2.13,1.85,0.39,3.42,2.1,2.44,1.95,1.56,1.86,2.67,1.98,0.82,1.24,2.5,1.12,0.45
June,,,,,,,,,1.87,0.35,1.59,1.09,2.75,1.5,1.74,2.45,2.14,2.23,0.79,2.02,0.88,2.32,3.97,1.89,2.13,1.84,1.66,2.92,1.36,2.17
July,,,,,,,,2.18,1.55,2.43,1.96,3.45,0.64,3.23,0.87,2.54,2.26,1.39,1.52,4.13,0.73,0.84,2.77,2.67,0.15,2.66,3.34,3.84,3.14,3.55
August,,,,,,,,1.26,3.83,0.36,4.81,1.55,2.21,1.44,2.11,2.78,0.05,2.31,1.58,2.45,3.98,3.61,2.38,4.21,0.85,3.56,1.59,3.54,1.55,3.51
September,,,,,,,,2.7,2.67,1.01,0.48,2.21,1.53,3.74,2.17,3.23,0.83,1.4,0.63,4.29,2.52,2.5,1.15,2.43,1.56,0.96,4.08,2.63,0.1,2.68
October,,,,,,,,2.72,4.3,1.49,1.64,3.41,1.34,3.4,3.22,1.2,0.26,2.38,3.55,0.67,1.08,1.69,2.23,2.12,2.21,1.39,1.46,2,1.78,3.56
November,,,,,,,,2.26,3.74,6.52,2.48,2.63,1.62,3,0.61,3.78,1.15,1.17,1.88,3.56,2.4,2.48,1.55,3.78,1.33,1.34,1.27,1.47,1.27,3.63
December,,,,,,,,2.52,1.58,1.85,0.85,1.64,0.93,1.38,2.42,2.28,1.71,1.61,1.27,1.97,1.28,1.6,0.92,1.91,1.69,1.84,2.96,2.99,3.6,2.78
Total,,,,,,,,,31.61,24.2,24.01,22.64,18.34,23.46,21.86,24.5,17.14,21.59,18.55,28.1,25.29,23.07,20.99,27.94,18.52,21.17,23.46,28.05,19.64,27.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Sep IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
