BRUTON-KINGS-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST683347,Long,-2.454207,Lat,51.110711,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.65,1.43,5.92,4.95,3.16,1.46,3.15,3.54,1.02,6.02,0.98,1.68,1.62,4.55,1.6,4.69,5.78,1.47,4.09,1.86,1.73,3.85,,,,,,,,4.73,4.02,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,4.6,2.72,3.51,4.61,0.97,1.22,2.13,4.57,0.95,3.42,1.85,1.92,0.92,4.53,2.56,2.53,1.27,3.54,5.96,6.85,1.92,1.65,,,,,,,,2.52,4.65,2.81,,,,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,4.05,0.98,0.82,2.28,3.92,2.39,4.23,1.97,3.9,2.26,0.96,3.73,4.66,1.01,2.88,6.03,3.52,6.65,1.34,3.76,3.55,1.36,,,,,,,,1.27,4.09,2.73,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.98,2.07,3.85,3.17,3.13,2.08,3.24,1.57,2.62,1.17,4.91,2.54,2.51,3.09,2.41,0.21,3.65,1.56,1.35,1.51,2.13,2.45,,,,,,,,3.95,1.69,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.11,3.87,2.28,2.78,1.75,2.37,3.21,3.02,0.3,4.31,2.3,2.37,1.5,2.16,1.32,1.73,3.18,1.96,2.77,2.99,2.75,1.53,,,,,,,,3,1.88,1.45,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,3.01,2.67,0.88,3.69,1.09,4.52,3.29,1.32,2.78,2.14,2.54,0.42,3.31,4.78,2.86,4.48,1.1,1.82,1.13,2.21,9.93,1.25,,,,,,,,2.93,3.79,2.88,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.04,0.51,1.96,1.64,2.66,1.81,3.9,5.73,1.28,1.56,2.07,2.04,3.75,3.13,0.04,3.44,0.79,5.31,4.95,1.37,3.63,6.13,,,,,,,,2.37,3.76,2.18,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4.71,1.81,1.6,3.29,2.89,3.55,4.47,3.48,5.49,2.55,2.74,3.14,2.6,4.55,1.9,7.1,1.79,3.37,2.89,5.78,7.17,3.04,,,,,,,,1.7,4.99,2.54,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.39,1.3,4.3,0.9,2.51,1.24,3.18,2.25,1.9,1.53,0.8,2.55,3.59,0.23,1.3,1,3.79,2.42,1.71,4.01,2.04,6.29,,,,,,,,1.44,6.36,1.34,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.54,5.2,2.81,3.12,2.34,2.59,7.19,2.82,1.76,5.71,6.4,1.93,6.67,5.26,3.41,4.51,3.27,3.07,5.22,7.26,4.88,1.59,,,,,,,3.75,4.13,2.9,5.81,6.42,,0.93,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,0.87,3.96,4.03,4.06,0.88,3.63,2.48,2.66,4.2,4.12,3.54,1.59,1.05,4.66,3.53,2,3.61,4.4,2.07,4.87,1.34,2.63,,,,,,,2.31,7.74,3.82,3.98,,,3.9,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,5.9,3.86,3.02,6.91,6.67,2.16,3.25,3.31,1.33,2.54,5.19,3.24,4.6,7.67,8.75,5.87,2.83,8.14,7.44,4.17,0.89,4.02,,,,,,,3.63,0.7,4.03,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,36.85,30.38,34.98,41.4,31.97,29.02,43.72,36.24,27.53,37.33,34.28,27.15,36.78,45.62,32.56,43.59,34.58,43.71,40.92,46.64,41.96,35.79,,,,,,,,36.48,45.98,36.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
