NELSON (BLACKMOSS RES.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD826414,Long,-2.266092,Lat,53.868515,Elevation,825,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2988/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.8,6.3,1.7,0.93,6.02,6.05,9.41,4.82,5.75,4.84,9.63,3.92,4.1,5.87,6.45,2.25,5.08,3.39,5.24,6.03,3.76,4.27,8.22
February,,,,,,,,2.42,5.39,2.75,5.7,2.34,3.93,3.35,7.05,7.26,2.28,4.43,4.37,7.88,4.58,1.79,3.16,3.34,2.43,1.48,3.65,8.98,1.15,3.52
March,,,,,,,,2.3,2.66,3.56,4.35,3.26,1.63,0.92,2.26,1.62,7.43,3.08,2.31,2.62,5.48,3.22,2.32,3.35,1.9,2.35,6.28,2.27,1.99,1.7
April,,,,,,,,0.91,2.28,3.29,2.23,1.83,3.18,3.46,3.62,1.64,3.81,2.97,5.98,4.8,3.05,3.2,3.89,1.42,3.25,3.28,1.08,2.06,3.39,3.48
May,,,,,,,,4.13,1.36,1.59,2.85,2.63,2.86,4.09,4.94,1.59,3.05,1.6,2.92,2.08,2.11,2.11,2.14,3.15,4.43,2.14,2.05,6.3,1.48,2.08
June,,,,,,,,4.85,4.9,0.82,0.4,1.12,5.15,4.02,5.7,3.09,3.62,5.67,1.15,3.66,1.38,4.25,2.55,3.28,4.51,2.03,2.39,5.11,3.82,1.45
July,,,,,,,,6.29,7.02,4.55,1.84,6.65,5.06,4.07,2.66,5.29,4.58,2.36,3.15,4.5,4.33,2.9,6.42,8.19,1.25,5.37,6.67,3.83,4.61,11.65
August,,,,,,,,5.57,3.03,2.79,6.45,6.11,8.44,3.64,2.9,9.79,0.16,5.65,3.93,8.44,5.89,7.6,7.59,8.68,1.09,13.41,6.31,5.02,0.6,6.56
September,,,,,,,,1.91,1.48,5.64,1.09,4.24,5.22,8.35,3.81,8.39,3.8,5.11,1.78,7.3,5.32,4.85,5.32,7.8,3.93,4.95,6.5,6.32,0.5,3.05
October,,,,,,,,11.99,1.68,4.16,6.99,9.25,4.63,5.93,7.19,1.4,0.96,4.01,5.5,5.01,1.67,3.75,2,11.24,3.26,3.4,8.74,4.04,7.31,3.94
November,,,,,,,,7.07,8.7,7.85,2.78,1.95,4.28,9.06,0.66,7.76,9.13,3.88,5.68,8.15,9.64,2.58,6.76,7.63,1.9,2.15,2.2,2.48,6.11,8.46
December,,,,,,,,5.35,5.07,6.29,3.12,5.86,3.17,6.06,2.86,4.65,4.61,3.58,10.49,4.01,12.16,4.71,3.03,9.05,7.51,5.49,7.14,4.87,9.23,6.52
Total,,,,,,,,59.59,49.87,44.99,38.73,51.26,53.6,62.36,48.47,58.23,48.27,51.97,51.18,62.55,61.48,47.41,47.43,72.21,38.85,51.29,59.04,55.04,44.46,60.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 July not transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
