USK-CASTLE-PARADE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO377010,Long,-2.9029474,Lat,51.704265,Elevation,75,ft.,,,,,,,,,,,,
Station no,RR4057,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,0.87,2.75,2.6,1.09,4.85,4.18,5.54,4.2,4.08,1.58,5.35,4.68,6.74,3.79,7.46,1.28
February,,,,,4.97,6.47,5.31,1.11,2.53,4.73,1.02,0.16,4.87,7.81,0.52,5.62,2.85,3.94,3.52,1.27
March,,,,,4.52,1.05,4.11,3.68,2.28,6.19,4.12,2.89,4.08,2.39,1.87,0.59,0.4,3.56,4.41,0.39
April,,,,,2.32,1.29,1.02,2.09,2.59,1.39,5.79,0.93,3.08,2.41,3.42,1.79,2.66,1.18,1.03,0.83
May,,,,,1.84,4.04,3.67,3.56,2.45,0.38,2.93,1.69,0.74,1.47,5.03,4.41,2.16,0.59,1.03,3.49
June,,,,,2.53,1.05,2.6,2.99,0.73,0.66,4.74,0.18,0.55,0.56,2.37,0,2.02,4.04,2.56,2.36
July,,,,,4.3,5.69,2,2.12,4.15,2.52,5.07,0.58,4.49,1.81,5.74,2.21,2.64,4.79,2.46,1.94
August,,,,,3.14,1.85,3.75,7.88,2.63,3.27,1.24,3.34,3.76,3.23,4.2,5.55,3.33,4.62,2.33,3.02
September,,,,,1.66,1.33,1.25,3.28,8.17,1.83,3.16,2.25,1.94,3.24,6.27,5.07,0.57,5.23,1.12,0.53
October,,,,,2.47,3.79,8.27,5.02,2.25,2.54,3.75,1.92,1.79,6.21,5.83,4.82,3.56,4.05,7.51,
November,,,,,4.84,4.74,3.98,1.55,3.03,2.63,2.19,3.23,2.07,3.46,3.4,2.48,9.98,3.62,6.06,12.64
December,,,,,8.92,8.41,2.75,0.94,4.63,5.91,5.49,2.56,6.75,3.31,7.62,4,0.57,3.57,3.2,
Total,,,,,42.38,42.46,41.31,35.31,40.29,36.23,45.04,23.93,38.2,37.48,51.62,41.22,37.48,42.98,42.69,
,,,,,,,,,,,,,,,,,,,,
NGR is Castle Parade House. Stated altitude maybe 15 ft. too low,,,,,,,,,,,,,,,,,,,,
