"BUCKFASTLEIGH BOSSEL PARK",,,,,,,,,,,,
Grid ref,SX737659,Long,-3.781433,Lat,50.479270,,,,,,,
Station no,RR2282,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.52,5.67,3.93,9.06,11.09,2.81,12.86,2.98,3.43,,,
February,11.43,2.20,3.02,4.29,10.49,1.76,6.59,3.86,3.77,,,
March,2.75,6.84,3.78,10.17,3.67,11.85,2.75,1.93,5.93,,,
April,2.29,6.81,3.13,1.89,2.79,4.02,1.01,6.99,3.80,,,
May,3.18,2.08,2.23,3.15,4.06,1.23,4.10,6.39,3.08,,,
June,5.25,1.73,3.10,1.91,1.92,3.51,4.09,4.08,0.83,,,
July,0.88,1.99,3.13,5.69,4.76,0.51,0.99,1.91,,,,
August,3.48,2.43,3.64,6.32,3.25,5.09,3.44,2.41,,,,
September,2.75,5.00,3.39,5.03,3.75,2.68,0.99,1.84,,,,
October,4.45,2.96,5.25,13.12,3.18,3.08,8.55,8.26,,,,
November,5.76,1.16,7.15,3.50,2.61,7.85,5.25,6.53,,,,
December,12.08,12.03,6.14,8.38,5.93,3.64,3.83,9.44,,,,
Total,63.82,50.90,47.89,72.51,57.50,48.03,54.45,56.62,,,,
Calc annual,63.82,50.90,47.89,72.51,57.50,48.03,54.45,56.62,20.84,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
