BUCKFASTLEIGH-BOSSEL-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX736659,Long,-3.782,Lat,50.4801,Elevation,175,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,3.53,5.68,9.46,9.64,4.84,8.65,5.15,2.08,2.71,10.65,7.55,2.82,4.46,7.84,7.47,2.14,4.47,1.75,13.02,9.52,5.67,3.93,9.06,11.09,2.81,12.86,2.98,3.43,
February,,8.71,4.15,10.62,8.01,8.24,2.53,2.35,0.49,3.63,1.52,0,4.72,10.55,5.37,0.05,0.97,4.22,3.59,7.53,11.43,2.2,3.02,4.29,10.49,1.76,6.59,3.86,3.77,
March,,8.95,3.08,2.19,5.5,1.87,8.11,2.22,9.75,6.65,2.71,6.81,2.18,0.23,4.93,6.01,8.46,8.28,2.82,1.68,2.75,6.84,3.78,10.17,3.67,11.85,2.75,1.93,5.93,
April,,0.96,7.97,1.17,2.54,4.44,3.56,1.79,2.79,1.41,4.01,2.42,0.92,0.42,3.94,4.22,0.34,6.7,2.97,5.7,2.29,6.81,3.13,1.89,2.79,4.02,1.01,6.99,3.8,
May,1,2.42,1.8,3.01,2.36,4.44,4.28,2.38,0.93,2.54,2.16,3.84,1.85,2.63,3.11,2.29,0.02,2.06,4.35,3.26,3.18,2.08,2.23,3.15,4.06,1.23,4.1,6.39,3.08,
June,1.73,4.08,5.52,4.61,0.79,1.88,1.07,0.8,3.56,1.09,4.02,4.41,2.25,1.79,3.61,1.47,3.71,3.76,3.07,1.97,5.25,1.73,3.1,1.91,1.92,3.51,4.09,4.08,0.83,
July,5.98,3.45,6.67,3.16,4.45,0.68,4.56,2,7.65,5.32,5.62,3.45,2.38,6.04,4.89,5.13,1.85,0.82,0.64,2.2,0.88,1.99,3.13,5.69,4.76,0.51,0.99,1.91,,
August,0.94,8.35,4.62,2,1.37,2.26,2.9,1.77,4.05,3.59,5.56,10.14,5.06,1.86,4.44,3.94,1.85,7.37,4.22,2.71,3.48,2.43,3.64,6.32,3.25,5.09,3.44,2.41,,
September,4.87,3.39,5.3,7.86,3.41,6.52,3.23,5.12,0.63,2.5,1.63,2.59,4.8,3.17,4.26,0.72,9.43,4.79,1.59,3.54,2.75,5,3.39,5.03,3.75,2.68,0.99,1.84,,
October,10.48,7.1,8.87,5.61,1.69,8.85,9.74,3.09,2.51,6.75,1.62,13.39,6.83,4.86,10.96,6.45,5.97,2.3,7.9,4.38,4.45,2.96,5.25,13.12,3.18,3.08,8.55,8.26,,
November,7.94,11.39,9.14,8.49,2.7,8.74,5.43,5.73,13.88,2.55,6.38,8.13,4.11,3.08,11.63,12.12,1.75,3.74,6.48,6.33,5.76,1.16,7.15,3.5,2.61,7.85,5.25,6.53,,
December,7.53,6.75,9.6,2.06,12.23,5.49,9.74,6.65,8.16,4.91,5.89,11.92,2.48,7.79,6.04,8.3,12.59,14.57,8.87,5.97,12.08,12.03,6.14,8.38,5.93,3.64,3.83,9.44,,
Total,,69.08,72.4,60.24,54.69,58.25,63.8,39.05,56.48,43.65,51.77,74.65,40.4,46.88,71.02,58.17,49.08,63.08,48.25,58.29,63.82,50.9,47.89,72.51,57.5,48.03,54.45,56.62,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location taken as kitchen garden as distance given from peas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alts range from 150 to 250 which is much too high for Bossel Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 Jan-Apr estimated from Ashburton Druid House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885 Apr Gauge moved about 100ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
