BRADFORD-ON-AVON-BEARFIELD-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST826616,Long,-2.251252,Lat,51.353205,Elevation,290,ft,,,,,,,,,,,,
Station no,RR6380,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.3,2.91,0.47,4.51,1.18,1.6,1.36,3.08,0.94,4.91,4.18,0.41,4.57,1.68,1.4,3.18,
February,,,,2,3.87,0.71,1.87,1.55,1.38,0.66,3.86,1.61,2.4,1.52,2.87,5.28,4.7,1.03,2.12,
March,,,,4.08,1.56,4.01,1.21,0.94,2.46,3.39,0.8,2.94,4.84,3.44,4.62,0.96,3.96,3.25,0.88,
April,,,,3.03,1.86,2.31,1.45,3.29,2.91,2.08,3.1,1.15,0.45,3.34,1.94,1.06,1.32,1.64,2.9,
May,,,,4.07,2.03,0.42,1.86,3.13,1.31,1.17,1.32,1.07,1.65,2.7,1.54,3.49,2.09,2.48,1.62,
June,,,,4.43,1.17,3.06,3.55,2.59,0.72,4.18,5.51,1.95,3.48,0.63,1.62,0.83,2.47,3.6,0.98,
July,,,,3.48,3.94,1.02,1.23,3.1,2.74,2.62,2.46,0.04,2.51,0.68,2.99,3.66,1.89,3.2,5.65,
August,,,,5,3.32,4.88,2.1,2.73,2.94,2.35,3.8,1,5.73,1.23,2.46,2.5,3.85,6.53,2.22,
September,,,,2.3,1.38,1.56,1.03,0.59,3.25,3.45,0.14,1.21,0.77,3.46,1.27,1.8,1.26,1.61,6.08,
October,,,,6.73,1.03,1.36,5.87,5.49,2.1,5.21,3.56,2.38,4.85,3.1,2.12,5.14,6.42,5.24,1.76,
November,,,,2.61,1.77,3.78,3.19,2.71,1.31,0.85,4.46,4.13,2.37,2.72,3.79,2.16,3.33,1,2.33,
December,,,,2.22,2.12,1.34,2.1,5.26,2.81,4.42,5.76,7.21,5.06,2.11,7.34,5.68,3.8,0.64,3.22,
Total,,,,43.25,26.96,24.92,29.97,32.56,25.53,31.74,37.85,25.63,39.02,29.11,32.97,37.13,36.77,31.62,32.94,
