EXETER ST THOMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX908915,Long,-3.547,Lat,50.7129,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3.54,2.3,3.34,4.42,3.6,5.4,3.68,2.83,1.28,5.8,0.9,2.5,2.3,1.97,5.41,2.02,2.14,3.11,1.31,2.01,7.08,1.73,3.47,2.18,1.66,2.18,4.97,3.93,4.29,4.5,2.77,3.62,3.59,3.14,2.82,2.21,2.4,5.84,6.67,2.84,3.03,0,4.95,2.3,0.45,2.15,5.11,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.8,2.3,1.95,1.23,3.94,4.27,1.38,0.32,2.51,4.61,2.06,2.15,4.23,1.14,3.3,1.64,0.92,3.12,0.84,7.81,1.7,3.23,1.65,4.07,5.39,1.71,3.85,2.76,2.29,3.8,2.92,2.03,1.79,1.9,4.47,1.49,1.55,0.63,0.8,2.95,0.66,2.4,2.59,2.46,2.83,2.48,1.36,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.38,3.92,2.81,1.98,5.78,0.27,0.62,4.49,1.52,2.17,2.83,2.98,2.67,4.07,1.25,2.46,0.83,2.33,2.62,1.76,0.81,3.24,4.9,1.36,2.64,2.72,0.06,3.25,3.18,1.55,3.15,0.45,2.55,3.54,3.35,0.99,0.74,5,1.18,1.54,0.34,2.42,2.42,4.48,1,1.66,3.48,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.95,0.7,1,0,6.33,2.42,1.44,3.43,2.89,1.38,3.44,2.15,0.88,1.68,3.81,5.92,2.93,2.95,1.2,3.44,0.97,1.17,2.74,1.61,1.61,1.78,0.4,2.24,0.54,4.46,0.37,1.04,4.31,2.51,4.92,2.58,4.11,2.2,1.36,2.46,0.22,0.53,3.43,3.97,5.2,3.42,1.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.1,3.6,1.33,3.67,1.56,3.55,2.23,3.06,0.57,2.28,2.65,2.53,1.99,2.92,3.27,0.79,2.56,1.49,1.81,0.62,1.23,2.55,1.17,1.2,2.89,1.25,1.6,2.8,1.44,4.77,0.1,1.64,3.27,2.17,1.17,2.6,2.29,1.43,2.49,2.41,2.24,2.74,3.13,3.29,0.63,1.32,4.57,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.76,2.6,1.67,2.66,0.76,2.25,0.57,1.96,0.87,1.71,2.63,1.18,0.35,1.11,3.63,4.58,3.61,0.95,2.32,5.11,2.95,1.78,1.98,1.47,4.01,5.39,0.78,2.38,1.27,3.01,1.53,2.29,1.16,1.53,3.29,0.81,2.6,1.09,4.25,2.74,2.49,3.37,0.99,2.06,1.52,2.39,8.04,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.3,0.95,5.36,2.22,0.8,2.4,1.05,2.68,3.71,2.82,1.49,0,1.08,1.47,4.5,5.61,2.26,2.17,1.54,0.77,3.3,0.59,2.08,2.15,1.35,4.51,1.58,2.07,1.45,1.37,1.37,1.73,5.1,1.42,1.68,2.62,2,2.07,0.52,2.19,3.62,4.14,1.6,1.33,3.17,1.39,1.9,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,0.96,0.7,2.3,4.59,0.07,2.2,2.17,2.33,1.53,2.16,1.57,1.29,2.5,2.29,2.59,2.69,3.07,1.8,5.1,0.6,2.13,2.08,0.74,4.19,1.85,2.02,1.29,2.52,3.78,2.9,3.08,2.38,2.24,0.97,3.74,0.87,2.31,1.87,6.29,2.23,1.34,1.35,2.4,0.45,0.7,2.03,2.26,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.67,2.02,1.85,1.28,0.44,6.78,2.64,2.42,3.1,1.33,1.1,2.3,2.79,5.29,4.15,3.42,5.43,3.29,2.17,0.38,1.98,1.96,4.02,3.49,2.87,1.57,4.16,1.93,6.21,2.23,1.28,1.54,4.23,1.94,0.48,4.56,3.42,4.74,0.8,3.24,1.83,0.45,1.03,3.66,1.76,2.92,3.72,1.78,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,3.05,5.24,1.82,1.12,2.4,2.31,5.68,3.36,6.31,7.17,5.65,4.03,3.4,6.02,2.21,1.21,0.5,5.52,4,3.34,1.25,5.78,4.24,1.7,3.58,4.81,2.16,4.08,1.58,5.94,3.33,2.1,5.33,7.5,3.18,2.54,1.98,2.66,4.91,4.39,3.33,3.59,2.69,6.17,2.49,5.58,1.61,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,2.1,1.9,3.39,2.79,4.16,2.74,1.62,5.44,5.87,1.91,5.28,2.85,2.36,2.37,3.09,1.03,5.55,3.49,5.72,3.15,2.23,4.48,6.55,2.5,10.26,5.44,6.61,6.46,7.63,3.92,3.83,4.63,3.51,2.93,1.55,2.54,3.23,2.28,8.53,2.7,1.74,0.89,0.3,1.46,4.14,4.75,4.68,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,2.9,2.2,7.34,4.13,3.12,4.35,2.49,8.58,1.1,4.68,4.66,4.27,3.48,4.04,3.93,0.71,5.05,5.78,3.37,4.66,1.04,0.93,3.17,2.33,2.18,5.12,0.78,4.2,1.71,0.82,3.63,3.02,1.15,5.5,6.04,4.09,2.87,2.38,6.93,2.21,2.84,2.8,5.13,0.93,3.97,3.39,6.13,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
