SOUTHPORT METEOROLOGICAL OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD349182,Long,-2.9865046,Lat,53.656223,Elevation,29,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.32,4.61,3.82,2.66,4.63,1.2,6.17,3.03,1.55,0.41,0.63,2.04,4.53,4.63,2.52,4.4,2.68,1.65,0.87,4.12,,,,,,,,,
February,,2.82,2.87,0.5,1.42,0.93,3.13,2.85,1.74,3.05,2.05,4.56,1.65,2.12,3.41,3.87,1.08,1.42,0.7,1.83,0.61,,,,,,,,,
March,,1.12,3.43,3.22,2.09,0.85,2.04,2.4,1.3,1.59,2.72,3.36,2.58,1.28,2.75,2.24,2.92,1.94,2.58,1.8,2.43,,,,,,,,,
April,,2.56,1.88,0.52,1.1,1.15,2.34,2.26,1.79,2.18,1.11,1.78,4.93,0.69,1.29,1.56,1.93,0.9,1.2,3.1,1.08,,,,,,,,,
May,,1.62,2.39,1.79,1.69,1.93,0.66,2.54,3.5,2.12,2.26,3.72,1.79,0.9,1.65,1.31,4.73,2.13,0.77,3.34,2.32,,,,,,,,,
June,,2.05,4.4,1.65,1.37,2.98,2.88,1.34,5.07,3.69,2.86,3.07,4.24,3.05,0.52,1.4,1.56,0.98,1.83,0.7,2.12,,,,,,,,,
July,,4.34,7.25,3.47,1.87,5.23,3.21,4.36,0.54,3.86,2.74,3.82,5.34,2.45,7.31,1.7,6.2,1.69,5.62,2.39,3.1,,,,,,,,,
August,,0.99,2.82,2.71,3.99,3.78,4.78,6.09,5.47,6.44,1.79,5.7,3.94,3.03,1.9,1.65,1.32,2.22,3.49,3.88,4.84,,,,,,,,,
September,,2.83,6.58,2.43,2.95,6.59,3.46,4.99,3.64,3.13,3.14,2.19,2.98,3.93,2.51,4.82,4.23,3.08,1.16,3.37,4.02,,,,,,,,,
October,,6.25,5.24,4.46,5.61,6.96,3.13,4.57,3.86,1.65,2.97,3.51,3.54,4.62,2.31,5.31,5.38,2.25,2.58,2.68,1.65,,,,,,,,,
November,,1.59,3.26,1.51,4.49,5.14,4.36,5.42,2.52,0.95,3.36,4.22,4.9,4.11,1.75,3,2.78,1.63,5.06,1.82,6.96,,,,,,,,,
December,,2.57,3.75,1.18,2.38,1.71,4.22,3.81,1.71,2.3,5.92,4.06,2.47,1.79,4.23,1.7,4.97,2.88,2.07,3.66,0.54,,,,,,,,,
Total,,30.06,48.48,27.26,31.62,41.88,35.41,46.8,34.17,32.51,31.33,40.62,40.4,32.5,34.26,31.08,41.5,23.8,28.71,29.44,33.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marked on 25"" 1892-1914 OS Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_07_pt4-page-082.csv 1870s-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_09_pt1-page-092.csv 1880s-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_15_pt1-page-090.csv 1890s-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
