MIDDLE-WALLOP-AIRFIELD,,,,,,,,,,
Grid ref,SU303393,Long,-1.568162,Lat,51.152161,Elevation,300,ft,,
Station no,660/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.16
February,,,,,,,,,0.18,2.6
March,,,,,,,,,3.52,1.86
April,,,,,,,,,2.95,1.15
May,,,,,,,,,0.64,1.15
June,,,,,,,,,0.72,4.12
July,,,,,,,,,1.88,3.97
August,,,,,,,,,2.04,3.15
September,,,,,,,,,0.05,5.12
October,,,,,,,,,2.81,10.41
November,,,,,,,,,3.56,3.91
December,,,,,,,,,7,4.2
Total,,,,,,,,,,45.8
,,,,,,,,,,
Note says not a very good site,,,,,,,,,,
Airfield was big so NGR taken from sheet but noting that post 1960 it was further S,,,,,,,,,,
,,,,,,,,,,
1959 Jan estimated from map,,,,,,,,,,
1960 Total does not match monthly values so changed from 46.8 to 45.8,,,,,,,,,,
,,,,,,,,,,
This might have been the same gauge as the one post 1960 known as MIDDLE WALLOP SRC_ID 847,,,,,,,,,,
