COATBRIDGE (WHIFFLET PUBLIC PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS740637,Long,-4.01415,Lat,55.84999,Elevation,295,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5182/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.4,2.07,0.94,5.46,3.56,3.8,2.31,3.89,3.09,6.29,3.16,2.13,4,3.84,1.47,4.11,2.28,2.01,5.14,3.18,1.38,2.66
February,,,,,,,,,4.2,1.21,2.6,1.27,3.73,1.4,5.15,2.61,1.03,2.76,3.84,3.54,2.26,1.12,1.2,2.86,1.64,1.63,2.48,2.62,1.3,2.76
March,,,,,,,,,2.75,3.44,3.02,1.52,1.91,0.63,2.3,1.96,2.5,2.2,1.61,3.02,2.85,2.03,0.88,2.31,1.61,1.43,3.29,1.08,1.31,1.79
April,,,,,,,,,1.64,2.26,1.51,1.51,2.24,2.12,1.67,1.22,4.87,2.63,2.78,2.85,2.1,1.77,2.02,1.39,0.95,0.84,1.55,1.55,2.59,2.24
May,,,,,,,,,0.91,0.97,4.19,2.42,3.66,2.32,3.13,1.3,2.97,0.95,1.58,1.17,1.63,1.5,1.72,3.23,2.88,1.81,2.59,2.73,0.84,2.69
June,,,,,,,,,1.99,0.88,0.69,1.15,3.74,2.77,4.02,2.94,2.78,6.62,0.84,1.83,3.32,2.16,1.25,2.5,1.55,2.88,2.58,2.95,2.54,1.38
July,,,,,,,,,3.36,5.38,3.02,2.64,1.96,2.8,2.94,3.54,2.1,3.09,2.2,4.74,3.53,2.22,3.6,3.1,1.26,5.66,3.61,4.99,4.71,3.38
August,,,,,,,,,1.43,1.86,3.94,2.99,4.49,3.13,2.06,2.75,0,5.96,4.08,3.59,5.2,3.37,2.63,5.5,1.34,4.48,4.37,4.44,0.65,2.47
September,,,,,,,,,1.96,3.44,1.01,3.84,1.76,3.6,4.73,6.44,2.84,5.6,1.14,8.43,2.95,2,2.62,4.5,2.7,4.25,2.48,3.74,1.23,2.27
October,,,,,,,,,1.81,2.76,2.9,4.18,5.54,3.68,4.26,0.55,1.25,4.56,5.27,2.4,0.96,2.9,1.71,9.27,2.73,2.62,3.11,2.54,3.99,2.7
November,,,,,,,,,5.74,3.92,2.21,0.72,2.02,6.16,0.51,4.44,4.65,2.62,3.36,2.8,5.58,2.24,5.64,5.51,1.5,1.19,1.79,1.85,4.59,4.67
December,,,,,,,,,1.37,3.83,1.9,3.07,1.15,4.15,2.69,2.82,2.59,4.3,7.25,2.18,4.68,3.23,3.85,4.68,5.46,4.23,3.22,4.59,4.64,4.27
Total,,,,,,,,,31.56,32.02,27.93,30.77,35.76,36.56,35.77,34.46,30.67,47.58,37.11,38.68,39.06,28.38,28.59,48.96,25.9,33.03,36.21,36.26,29.77,33.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Ja Corr for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Fe Mar adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5182/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,656978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
