"COATBRIDGE (WHIFFLET PUBLIC PARK)",,,,,,,,,,,,
Grid ref,NS740637,Long,-4.014150,Lat,55.849990,,,,,,,
Station no,5182/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.00,3.84,1.47,4.11,2.28,2.01,5.14,3.18,1.38,2.66,,
February,2.26,1.12,1.20,2.86,1.64,1.63,2.48,2.62,1.30,2.76,,
March,2.85,2.03,0.88,2.31,1.61,1.43,3.29,1.08,1.31,1.79,,
April,2.10,1.77,2.02,1.39,0.95,0.84,1.55,1.55,2.59,2.24,,
May,1.63,1.50,1.72,3.23,2.88,1.81,2.59,2.73,0.84,2.69,,
June,3.32,2.16,1.25,2.50,1.55,2.88,2.58,2.95,2.54,1.38,,
July,3.53,2.22,3.60,3.10,1.26,5.66,3.61,4.99,4.71,3.38,,
August,5.20,3.37,2.63,5.50,1.34,4.48,4.37,4.44,0.65,2.47,,
September,2.95,2.00,2.62,4.50,2.70,4.25,2.48,3.74,1.23,2.27,,
October,0.96,2.90,1.71,9.27,2.73,2.62,3.11,2.54,3.99,2.70,,
November,5.58,2.24,5.64,5.51,1.50,1.19,1.79,1.85,4.59,4.67,,
December,4.68,3.23,3.85,4.68,5.46,4.23,3.22,4.59,4.64,4.27,,
Total,39.06,28.38,28.59,48.96,25.90,33.03,36.21,36.26,29.77,33.28,,
Calc annual,39.06,28.38,28.59,48.96,25.90,33.03,36.21,36.26,29.77,33.28,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
