"WEARDALE WATER WORKS WASKERLEY 5",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1188,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.38,3.58,2.52,0.94,1.88,2.00,2.02,,,,,
February,2.19,0.26,2.10,4.04,0.49,3.83,3.01,,,,,
March,3.05,1.34,0.90,1.58,1.20,2.65,0.87,,,,,
April,4.19,1.27,2.82,2.30,1.32,3.08,1.83,,,,,
May,3.81,1.78,1.20,2.25,5.57,4.86,1.32,,,,,
June,0.99,0.32,0.88,0.86,2.29,0.37,5.38,,,,,
July,4.40,1.13,5.42,2.52,4.29,1.89,3.55,,,,,
August,1.95,7.28,3.16,5.37,1.96,3.26,3.02,,,,,
September,1.54,1.08,4.51,3.29,4.55,3.60,3.69,,,,,
October,2.86,1.87,2.97,3.09,3.48,3.31,2.75,,,,,
November,2.25,2.46,0.91,3.42,2.08,2.31,5.22,,,,,
December,3.68,3.29,4.06,1.62,4.36,2.86,0.88,,,,,
Total,33.29,25.66,31.45,31.28,33.47,34.02,33.54,,,,,
Calc annual,33.29,25.66,31.45,31.28,33.47,34.02,33.54,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,
