WEARDALE W.W. WASKERLEY 5 MILLSTONE QUARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ027433,Long,-1.959541,Lat,54.784595,Elevation,1244,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,2.49,2.9,3.13,3.88,2.09,-999,3.94,1.54,1.23,2.88,0.9,5.68,2.66,1.04,0.43,-999,1.13,2.53,4.95,1.64,1.08,0.68,0.54,0.6,3.24,3.5,1.1,0.67,1.89,,0.89,2.11,1.56,4.81,4.27,1.11,0.83,3.05,,0.35,2.87,0.43,1.42,1.09,1.03,1.26,0.48,-999,1.71,2.02,2.93,0.17,2.46,1.84,2.38,3.58,2.52,0.94,1.88,2,2.02,,,,
February,,,,,,,2.49,1.5,2.18,3.85,1.57,-999,3.76,1.5,1.8,0.5,2.89,2.02,1.07,0.96,2.98,-999,0.78,3.81,2.92,2.57,-999,0.94,0.48,0.46,0.89,0.23,1.86,3.78,3.99,,0.81,1.43,1.99,1.64,5.07,0.75,0.84,2.54,,0.48,0.87,1.53,1.21,1.31,2.75,1.89,4.24,-999,2.35,3.17,1.91,1.74,2.53,2.94,2.19,0.26,2.1,4.04,0.49,3.83,3.01,,,,
March,,,,,,,1.38,1.45,1.82,1.18,0.68,0.83,0.64,1.69,1,0.72,2.68,3.8,0.51,1.04,1.55,4.6,3.32,,0.95,1.83,-999,1.45,1.64,1.91,1.93,1.23,0.73,1.44,1.22,,3.05,5.3,2.47,1.07,1.24,1.25,0.52,3.4,2.23,3,1.26,1.33,4.86,3.31,1.37,2.04,2.01,3.32,1.9,1.75,-999,0.48,0.89,1.88,3.05,1.34,0.9,1.58,1.2,2.65,0.87,,,,
April,,,,,,,2.34,3.69,3.27,1.73,0.73,2.62,4.5,0.81,1.67,1.1,3.08,5.17,2.59,2.64,2.67,0.79,3.75,1.88,3.25,2.75,2.48,0.97,1.71,2.37,1.46,2.4,1.39,0.4,1.01,1.9,1.39,2,1.45,3.57,1.58,1.87,2.34,1.77,1.88,1.74,1.62,1.81,3.41,2.42,2.93,0.69,1.16,4.73,1.01,0.89,-999,1.09,2.21,1.53,4.19,1.27,2.82,2.3,1.32,3.08,1.83,,,,
May,,,,,,,1.05,2.08,1.19,4.34,1.46,1.82,1.97,2.84,2.45,1.43,1.63,2.55,4.8,1.28,1.09,1.89,1.21,2.35,1.35,4.38,1.6,2.41,1.01,1.94,1.96,2.55,1.98,2.18,3.14,1.48,0.62,0.43,3.25,4.41,1.54,1.77,2.1,3.31,1.96,1.55,4.49,3.21,2.58,1.95,1.89,1.74,2.79,2.67,1.41,1.11,4.44,2.16,2,1.47,3.81,1.78,1.2,2.25,5.57,4.86,1.32,,,,
June,,,,,,,2.64,1.23,0.46,1.6,1.48,3.6,3.1,1.06,1.97,2.17,3.36,1.82,2.95,4.88,3.75,2.55,4.51,3,1.05,1.71,3.02,0.74,1.39,0.46,1.6,0.12,6.05,1.64,3.9,0.57,2.34,5.08,1.84,0.93,3.9,2.21,2.78,1.64,2.92,0.95,0.97,4.36,0.92,3.49,1.72,4.63,4.91,1.22,3.82,1.01,2.06,2.37,0.46,0.62,0.99,0.32,0.88,0.86,2.29,0.37,5.38,,,,
July,,,,,,,3.7,4.05,0.71,0.3,0.88,2.45,4.11,1.61,1.45,5.86,1.68,4.81,0.8,4.15,5.81,2.42,3.21,4.8,6.31,1.61,5,1.14,6.62,2.81,3.61,5.99,1.58,3.2,2.2,7.96,2.52,0.69,0.58,4.02,1.06,2.52,3.49,5.55,1.7,0.61,0.62,2.54,2.69,2.2,3.61,0.33,4.42,1.8,1.51,4.14,4.12,1.93,4.37,2.14,4.4,1.13,5.42,2.52,4.29,1.89,3.55,,,,
August,,,,,,,4.64,1.88,3.17,1.33,2.23,2.11,2.73,1.72,3.1,3.56,1.54,7.37,5.35,5.08,1.76,6.78,2.92,2.6,1.31,3.55,2.41,2.46,1.82,4.03,5.56,5.55,4.38,2.48,2.94,2.41,2.47,2.87,3.21,0.96,6.61,2.38,2.04,2.76,3.07,4.18,3.94,1.69,0.88,3.43,5.66,3.11,6.54,0.49,2.08,5.14,3.3,8.61,2.33,2.06,1.95,7.28,3.16,5.37,1.96,3.26,3.02,,,,
September,,,,,,,5.03,1.86,5.66,5.49,1.36,4.1,3.4,2.44,2.13,3.56,5.51,1.57,2.57,1.72,5.01,4.53,1.97,4.93,2.66,3.43,2.73,2.17,1.08,0.47,1.26,3.91,2.59,1.39,1.49,0.38,4.31,3.26,0.16,3.08,0.75,1.97,0.98,4.03,0.63,2.26,0.99,0.45,3.96,3.5,0.65,1.53,1.8,4.13,2.49,1.03,2.39,1.25,5.76,2.22,1.54,1.08,4.51,3.29,4.55,3.6,3.69,,,,
October,,,,,,,1.29,1.46,1.81,1.85,6.16,4.37,6.82,2.45,2.52,5.54,1.72,3.39,2.37,0.91,2.53,5.14,3.21,4.58,2.04,4.17,6.91,2.47,1.59,4.7,1.98,4.33,5.81,1.2,5.55,4.47,5.71,2.11,6.45,2.76,5.31,2.75,3.43,9.82,1.11,2.38,4.92,5.9,2.77,2.81,2.68,4.3,4.15,3.89,1.08,0.99,4.67,2.81,4.31,3.69,2.86,1.87,2.97,3.09,3.48,3.31,2.75,,,,
