MELTON-MOWBRAY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK758180,Long,-0.87833588,Lat,52.754306,Elevation,345,ft,,,,,,,,,,,,,
Station no,RR6631,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,2.72,1.06,1.91,1.12,1.85,1.98,3.19,1.94,2.45,2.83,1.06,2.01,1.31,,,,,
February,,,,0.79,1.07,2.63,4.35,0.64,1.4,2.28,1.14,0.29,2.13,3.86,0.6,2.08,,,,,
March,,,,3.36,2.27,0.89,3.68,1.01,0.76,2.52,2.22,0.89,1.72,1.26,0.54,0.87,,,,,
April,,,,2.29,1.24,0.91,0.85,1.34,2.01,1.57,4.21,1.01,2.96,2.04,1.54,1.27,,,,,
May,,,,1.42,1.18,1.61,1.56,1.21,1.33,1.42,2.16,1.99,0.88,1.44,3.57,3.09,,,,,
June,,,,0.98,2.31,1.94,2.09,1.23,0.45,0.88,2.43,0.59,1.19,0.73,2.61,0.12,,,,,
July,,,,1.01,2.36,5.35,1.89,1.7,2.48,3.74,2.76,0.24,4.84,3.55,2.67,2.17,,,,,
August,,,,1.94,1.33,2.51,2.47,5.2,1.47,2.4,0.84,2.97,6.41,2.01,2.02,1.24,,,,,
September,,,,2.15,0.67,1.2,1.17,1.6,3.47,1.81,1.49,0.87,1.88,1.95,2.6,2.96,,,,,
October,,,,2.71,1.73,1,2.1,2.99,1.34,1.82,1.09,1.55,0.94,2.92,4.12,2.52,,,,,
November,,,,1.79,2.85,2.13,2.83,0.75,1.75,1.86,0.96,1.27,1.07,1.95,1.81,2.01,,,,,
December,,,,0.93,3.98,4.91,2.26,0.77,2.33,3.8,1.73,1.74,3.36,2.33,1.95,1.87,,,,,
Total,,,,22.09,22.05,26.99,26.37,20.29,20.77,27.29,22.97,15.86,30.21,25.1,26.04,21.51,,,,,
