"PLYMOUTH THE HOE",,,,,,,,,,,,
Grid ref,SX477537,Long,-4.142672,Lat,50.363447,,,,,,,
Station no,1635,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.80,2.78,1.61,4.84,5.38,2.37,6.33,1.31,1.79,1.94,,
February,5.85,1.34,1.72,2.11,7.04,0.95,4.85,2.07,2.48,0.43,,
March,2.43,2.59,2.37,4.75,2.20,5.19,1.26,1.11,4.17,6.24,,
April,2.02,4.14,1.92,1.58,1.34,2.72,1.08,4.56,3.04,2.15,,
May,1.73,1.43,1.83,2.01,3.65,0.96,3.74,3.08,2.13,0.95,,
June,3.83,1.63,3.07,3.28,1.12,2.46,1.92,2.60,0.40,2.85,,
July,0.95,3.29,2.16,3.95,5.61,0.80,1.52,1.46,1.98,3.72,,
August,2.71,2.22,1.87,3.77,3.42,4.42,2.39,2.22,3.95,2.02,,
September,1.43,4.14,2.46,4.44,3.02,1.37,0.90,2.22,3.24,0.90,,
October,2.23,2.35,2.67,7.62,2.13,1.81,3.25,6.36,1.96,6.59,,
November,4.35,0.50,5.99,1.86,2.17,5.80,3.08,4.27,1.21,1.33,,
December,6.59,6.44,3.26,5.55,4.29,1.64,3.08,4.99,4.65,6.14,,
Total,39.92,32.85,30.93,45.76,41.37,30.49,33.40,36.25,31.00,35.26,,
Calc annual,39.92,32.85,30.93,45.76,41.37,30.49,33.40,36.25,31.00,35.26,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
