"PLYMOUTH (THE HOE)",,,,,,,,,,,,
Grid ref,SX478537,Long,-4.141267,Lat,50.363472,,,,,,,
Station no,1635,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.76,4.13,1.02,1.64,5.57,4.72,3.15,4.69,4.81,5.19,,
February,4.16,0.75,1.61,4.67,3.71,0.42,5.97,3.98,0.25,4.08,,
March,4.79,4.43,0.66,3.34,1.61,1.76,4.49,2.03,4.98,2.46,,
April,1.87,3.37,3.02,0.38,1.60,1.01,0.19,0.75,3.65,2.70,,
May,2.75,2.08,3.63,2.61,3.24,0.99,1.88,3.39,0.80,2.27,,
June,1.14,0.98,2.39,3.33,2.68,2.77,1.68,3.61,1.44,1.25,,
July,1.19,0.90,3.76,3.22,2.12,4.12,4.06,3.14,2.01,4.08,,
August,5.01,6.33,1.88,3.34,0.37,3.38,3.06,5.71,3.46,4.03,,
September,5.05,3.31,2.71,4.22,1.84,6.92,3.63,4.95,0.00,5.56,,
October,1.22,5.29,3.72,3.92,2.60,1.84,2.73,3.11,3.82,7.81,,
November,6.03,3.98,3.00,7.60,3.68,1.54,2.77,2.91,7.75,6.03,,
December,3.74,3.51,0.78,3.32,5.88,5.83,2.74,4.87,8.54,4.44,,
Total,41.71,39.06,28.18,41.59,34.90,35.30,36.35,43.14,41.51,49.90,,
Calc annual,41.71,39.06,28.18,41.59,34.90,35.30,36.35,43.14,41.51,49.90,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
