ASPATRIA AGRICULTURAL COLLEGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY142418,Long,-3.334985,Lat,54.763774,Elevation,251,ft,,,,,,,,,,,,
Station no,RR4485,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.64,4.85,2.93,1.6,5.84,1.55,4.38,2.88,4.15,2.05,1.6,2.45,3.26,3.34,5.16,,,
February,,,0.88,4.83,2.66,2.27,2.53,1.97,3.48,2.14,5.56,4.72,2.08,2.72,4.82,5.43,4.88,,,
March,,,2.33,6.72,3.06,3.21,2.43,3.7,3.52,4.23,2.79,1.2,4.34,4.68,3.47,2.16,1.66,,,
April,,,1.82,1.58,2.87,3.41,0.84,2.87,2.19,2.73,2.12,4.05,0.67,3.79,1.52,2.95,3.11,,,
May,,,2.14,2.83,3.1,2.69,4.31,3.53,2.94,1.48,2.43,2.49,2.08,2.58,2.26,1.61,3.42,,,
June,,,1.32,1.33,1.86,1.8,1.91,5.4,2.36,2.11,1.38,4,5.8,3.07,1.34,1.34,,,,
July,,,3.17,4.88,2.11,2.3,2.31,1.82,3.75,5.42,4.49,0.97,4.23,1.36,5.58,3.7,,,,
August,,,2.4,6.42,3.67,3.27,5.67,4.07,5.46,2.72,4.7,2.38,4.48,2.84,3.97,2.84,,,,
September,,,1.65,4.33,1.99,3.13,1.57,0.47,3.8,2.58,0.86,2.8,1.63,2.65,1.81,1.34,,,,
October,,,3.38,10.37,2.07,2.76,6.14,7.32,1.6,7.87,2.08,3.61,4.22,2.9,1.54,2.44,,,,
November,,,2.02,3.39,3.41,3.24,3.52,4.2,2.75,2.03,3.68,5.6,4.5,3.94,5.7,1.81,,,,
December,,,3.51,3.04,4.26,2.54,3.19,6.17,3.03,6.67,3.99,6.98,6.26,3.5,5.64,6.42,,,,
Total,,,27.26,54.57,33.99,32.22,40.26,43.07,39.26,42.86,38.23,40.85,41.89,36.48,40.91,35.38,,,,
,,,,,,,,,,,,,,,,,,,,
1909 total arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
