Rainfall at,LYME REGIS (PINHAY)
,
Station no,1813,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.95,2.99,4.86,1.95,5.00,3.69,3.46,3.07,6.20,1.82,5.32,
February,0.58,0.29,3.12,7.01,1.09,4.03,2.01,2.75,3.12,2.24,1.24,
March,3.36,1.76,2.89,1.53,1.58,0.25,0.55,3.42,3.16,0.33,1.74,
April,4.20,1.12,4.00,3.06,2.95,2.21,2.49,1.89,1.48,0.93,3.16,
May,1.76,2.09,0.75,1.21,5.01,3.39,1.22,0.83,1.60,2.46,2.17,
June,2.64,0.58,1.06,0.53,2.99,0.00,3.05,2.56,1.94,2.43,0.22,
July,5.31,0.47,4.74,0.89,3.97,2.98,4.56,3.33,1.83,1.60,1.70,
August,1.46,2.37,4.60,2.09,3.53,2.34,1.30,3.48,2.72,2.67,3.70,
September,1.58,0.80,2.22,3.23,5.92,3.05,0.89,6.23,1.64,0.67,4.91,
October,2.46,1.20,1.73,5.39,6.42,3.64,2.87,3.09,7.09,4.99,3.07,
November,1.52,3.48,2.07,1.70,3.20,2.85,7.24,3.84,3.93,9.63,5.76,
December,4.29,1.50,4.71,3.71,4.24,3.96,0.43,4.74,3.32,7.37,4.70,
Total,34.11,18.65,36.75,32.30,45.90,32.39,30.07,39.23,38.03,37.14,37.69,
Calc annual,34.11,18.65,36.75,32.30,45.90,32.39,30.07,39.23,38.03,37.14,37.69,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,
