LYME REGIS (PINHAY),,,,,,,,,,,,
Grid ref,SY315913,Long,-2.971666,Lat,50.717274,,,,,,,
Station no,1813,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.37,1.51,1.08,1.86,4.31,4.53,3.33,3.80,6.43,4.10,,
February,4.85,0.59,2.34,3.86,2.67,0.19,4.44,3.94,0.54,4.31,,
March,3.60,2.71,0.55,4.54,1.68,0.91,3.37,2.07,3.84,2.78,,
April,1.38,1.95,3.28,0.34,1.48,1.20,0.09,0.93,2.76,3.15,,
May,1.96,2.39,3.51,1.92,4.16,1.01,1.99,3.21,1.09,2.13,,
June,0.95,2.36,2.38,3.07,3.45,2.57,1.90,3.01,1.15,1.37,,
July,2.35,1.99,3.66,3.49,3.30,2.10,3.98,3.07,2.22,3.88,,
August,3.71,3.78,2.87,3.80,0.99,5.49,2.19,2.66,2.14,4.64,,
September,2.93,3.57,3.24,3.79,1.62,7.17,3.47,5.66,0.10,7.12,,
October,0.62,5.39,3.65,3.12,2.55,2.18,3.05,2.92,3.77,11.73,,
November,6.79,4.69,2.23,7.58,4.82,0.93,2.70,3.36,6.18,5.57,,
December,3.02,3.95,0.92,3.36,5.63,5.45,3.61,6.97,7.75,4.10,,
Total,35.53,34.88,29.71,40.73,36.66,33.73,34.12,41.60,37.97,54.88,,
Calc annual,35.53,34.88,29.71,40.73,36.66,33.73,34.12,41.60,37.97,54.88,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
