BEN LEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN554084,Long,-4.335107,Lat,56.246064,Elevation,1800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,6.2,5,4.4,10.1,7.5,6.3,11.5,3.8,7.5,9.4,2.1,3.5,9,7.5,3.9,10.3,4.4,6.3,4.6,1.4,3.7,0.7,4.2,5.8,4.4,3.8,2.6,3.2,4.3,4,5.7,2.8,2.4,2.8,4.8,,2.5,0.9,3.7,5.5,4,2.6,3,2.8,3.2,1,1.9,1,4.4,1.85,2,2.6,5.3,4.7,5.6,,,,,
February,2.4,5.8,1.6,6,7.8,5.8,9.2,3.6,5,5.5,4.4,7.2,8.4,0.5,1.9,1.6,5.3,9.2,3.4,1.6,5,0,4,9,4.2,6.5,1.5,3.4,0.45,1,1.75,1.1,0.6,4.6,5.6,,2.4,2.95,1.9,4.4,1.5,1.7,5.4,4.5,3.3,0.9,0.7,2.8,1.7,1,2.3,10.95,7.1,6.5,9.2,,,,,
March,1.1,5.7,0.6,3.1,6.4,2.2,5.8,2.6,5.6,0.8,1.1,3.3,6.4,4.5,4.2,2.5,4.9,2.7,1.1,3.8,2.8,7.8,4.3,0.8,3.2,2.1,4.8,0.9,2.4,1.2,2.6,1.5,1.1,1.7,1.8,2.7,3.8,5,1.5,3,0.35,2,2.8,5.6,1.6,4,1.1,2.8,5.1,1,1.1,2,8.85,12.7,6.7,,,,,
April,3.1,0.8,3.2,5.9,2.8,1.3,5.1,3.1,3.5,1.9,2.4,5.2,2.5,1,3.2,1.7,4,4.9,4.8,2.5,3.8,1.5,2.7,3.3,1.9,3.5,1.4,2,3.6,3.5,1.85,1.5,1.3,1.6,1.6,4.3,1.9,2.6,4.6,4.6,2,3.2,2,1,3.5,2.8,0.7,2.7,1.1,4.15,3.6,5.15,2.6,4.9,5.1,,,,,
May,3.2,0.7,7.2,5.1,1.5,3.7,1.2,3.8,6.3,0.6,5.1,1,3.7,4.8,1.9,3.3,0.8,4.6,7.1,2.8,2.5,3.6,3.7,4.3,4,3.7,4.9,0.35,5.9,5.6,3.7,3.15,5,3.15,2.5,0.95,0.5,2.5,2.7,4.5,5.6,2.9,1.8,1.9,5.3,2,5.2,5,4.05,3.7,1.55,5.5,2.85,5.3,2.9,,,,,
June,8.5,3.8,7,6,6.7,0.7,6.9,3.5,1.8,3.2,2,3.9,12.1,4.7,1.4,4.7,4.9,5.7,4.2,7.8,3,5.8,6.7,4.2,2,2,2,1.85,6,1.5,6,2.3,6,2.8,3.5,2.2,5.6,6.3,3,3.1,6.7,4.55,3.2,4.5,3.2,2,1.2,5.6,3.75,3.55,2.8,3.65,8.35,4.9,1.8,,,,,
July,5.7,5.4,7.4,0.4,4.4,5.2,4.5,6.9,1.2,3.6,1.8,6.2,7.2,7.9,2.7,2.1,2.9,6.7,0.7,6.2,6,6.1,9.8,6.3,7.5,2.9,4.2,4.5,8.1,3,5,2.8,3.6,3.4,4.9,6,5.4,2.8,1.55,3.9,4.3,3.7,3.4,7.3,3.4,3.5,3.1,3.25,6.65,2.45,5.8,4.5,3.35,0.65,3.5,,,,,
August,6.2,15,8.7,6.3,2.9,11.1,,6.6,8.5,1.6,1.7,4.9,8.5,7.1,8.7,5.6,5.9,11.1,6.4,7.3,2.3,6.7,5.3,5.7,5.2,6.2,3.4,5.1,5.5,7.2,5.4,8,10,5,5.4,8.5,2.7,8.5,6,1.7,6,4.9,3.6,9.3,6.2,7.9,6.7,7.75,5.3,3.05,9,6.55,5,2.45,5.4,,,,,
September,2.3,8.4,2.7,6.4,9.8,2.1,,6,5.1,9,5.5,2.9,8.3,4.7,8.1,7.5,4.4,2.8,6.2,8.3,4.4,4.6,6.2,4.2,3.7,10.1,7,5,0.9,1.1,5.5,6.1,4.7,2.2,0.1,2,6.6,3,6,4.2,4.2,5,4.8,5.5,6.4,2.8,2.7,2.8,10.4,1.7,0.7,3.4,3.4,4,3.95,,,,,
October,5.7,7.9,9.7,5.2,4.3,5.7,5.5,7.8,4.6,2.8,8.7,6.9,4.4,6.5,10,7.9,12.1,10.3,6.6,2,0.4,3.7,8.9,4.7,5,2.5,7.1,1.6,4,5.7,3.2,7.8,4.9,5.15,3.7,2.8,2.8,2.8,4.5,3.5,5.3,5.2,2.5,13.4,3.4,3.9,6.15,5,3.05,5.4,0.8,5.1,8.55,5.1,3.9,,,,,
November,2.7,7.6,2.8,6.2,7,5,4.6,1.7,2.8,2.9,2.4,5.1,8.1,2.8,3.4,5.5,6.2,7.7,1.3,1.7,5,6,4.9,4.4,5.6,3.9,4,4.9,7,2.2,9.3,5.6,5.3,3.3,5.5,6.4,1.4,3.2,4.6,5.4,6.7,2.3,5.7,2.7,2,6.2,2.7,3.15,3.35,0.7,0.2,9.1,6.5,9.95,8.3,,,,,
December,6.7,4.3,10.7,10,7.9,8.6,6.7,3.6,10.7,3.9,2.5,4.8,7.6,3.6,1.5,4.1,10.8,6.6,2,2.8,2,3.7,5.2,2.5,4,2.8,4.7,2.3,5.4,2.9,1.5,4.8,2.1,4.4,4.4,3.9,5.7,5,7,4.5,6.1,3.5,4.6,7.4,3.6,2.1,1.3,4.9,3,2.7,3.5,10.2,19.7,4.6,11.5,,,,,
Total,53.8,70.4,66,70.7,69,57.7,,53,62.6,45.2,39.7,54.9,86.2,55.6,50.9,56.8,66.6,78.6,48.4,48.2,40.9,50.2,65.9,55.2,50.7,50,47.6,35.1,53.55,38.9,51.5,47.45,47,40.1,43.8,40.45,41.3,45.55,47.05,48.3,52.75,41.55,42.8,65.9,45.1,39.1,33.45,46.75,51.85,31.25,33.35,68.7,81.55,65.75,67.85,,,,,
