BETWEEN GLEN FINLAS & BEN LEDI,,,,,,,,,,,,
Grid ref,NN568068,Long,-4.311680,Lat,56.232113,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,2.60,3.00,2.80,3.20,1.00,1.90,1.00,4.40,1.85,,
February,1.50,1.70,5.40,4.50,3.30,0.90,0.70,2.80,1.70,1.00,,
March,0.35,2.00,2.80,5.60,1.60,4.00,1.10,2.80,5.10,1.00,,
April,2.00,3.20,2.00,1.00,3.50,2.80,0.70,2.70,1.10,4.15,,
May,5.60,2.90,1.80,1.90,5.30,2.00,5.20,5.00,4.05,3.70,,
June,6.70,4.55,3.20,4.50,3.20,2.00,1.20,5.60,3.75,3.55,,
July,4.30,3.70,3.40,7.30,3.40,3.50,3.10,3.25,6.65,2.45,,
August,6.00,4.90,3.60,9.30,6.20,7.90,6.70,7.75,5.30,3.05,,
September,4.20,5.00,4.80,5.50,6.40,2.80,2.70,2.80,10.40,1.70,,
October,5.30,5.20,2.50,13.40,3.40,3.90,6.15,5.00,3.05,5.40,,
November,6.70,2.30,5.70,2.70,2.00,6.20,2.70,3.15,3.35,0.70,,
December,6.10,3.50,4.60,7.40,3.60,2.10,1.30,4.90,3.00,2.70,,
Total,52.75,41.55,42.80,65.90,45.10,39.10,33.45,46.75,51.85,31.25,,
Calc annual,52.75,41.55,42.80,65.90,45.10,39.10,33.45,46.75,51.85,31.25,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
