"BEN LEDI",,,,,,,,,,,,
Grid ref,NN564077,Long,-4.318616,Lat,56.240072,,,,,,,
Station no,5516,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.70,4.00,3.20,6.20,4.00,4.20,10.20,7.30,3.40,4.40,,
February,4.00,1.70,3.10,6.80,3.50,2.30,5.10,3.00,3.30,5.70,,
March,4.30,8.00,2.00,4.60,3.00,2.90,7.20,3.00,5.30,3.50,,
April,4.80,3.20,3.40,2.90,4.23,1.60,3.20,3.20,4.80,6.20,,
May,1.70,2.70,3.70,5.90,4.50,3.10,4.00,4.90,1.30,5.10,,
June,4.40,3.80,3.20,4.30,4.30,4.40,2.70,4.10,3.40,3.60,,
July,4.90,3.30,7.70,5.20,0.60,7.10,6.20,6.20,7.30,7.10,,
August,7.30,7.00,3.80,7.60,1.50,8.00,6.30,6.90,2.60,5.90,,
September,5.80,2.60,9.40,9.60,5.50,8.20,4.10,6.70,2.10,4.70,,
October,2.30,6.00,5.40,12.30,5.60,4.30,6.20,5.50,6.40,6.80,,
November,8.80,2.80,9.70,11.50,4.00,2.00,2.70,2.90,8.30,7.50,,
December,8.80,5.50,8.40,10.50,11.68,8.20,9.20,7.50,11.10,7.30,,
Total,63.80,50.60,63.00,87.40,52.41,56.30,67.10,61.20,59.30,67.80,,
Calc annual,63.80,50.60,63.00,87.40,52.41,56.30,67.10,61.20,59.30,67.80,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
