BLANCHLAND (ACTON BURN),,,,,,,,,,
Grid ref,NY979538,Long,-2.034257,Lat,54.878954,Elevation,850,ft,,
Station no,3560/1/6,,,,,,,,,
,  ,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.4,3.4,2.8,3.2,2.5,2.7,3.1,4.9
February,,,1.5,2,2.5,3.7,2.7,4.5,0.4,2.9
March,,,0.2,1.2,1.95,1.2,1.4,2.8,0.7,2.4
April,,,3,0.7,0.5,1.4,0.3,1.8,2.4,1
May,,,2.5,4.7,2.3,0.7,1.6,3.8,0.7,2
June,,,2.55,1.6,2.9,3.2,1.2,3.2,1.6,0.3
July,,2.2,1.7,1.8,1.65,3.3,4.2,3.5,1.4,4.5
August,,2.07,4,7.2,1.2,9.5,4.7,3.4,0.51,3.4
September,,4,3.1,3.4,1.2,3.5,3.3,2.6,1,2.8
October,,4.1,2.5,5.45,2.3,2.1,2.2,1.9,2,8.5
November,,3.01,1.6,4.85,1.5,0.9,2.3,0.5,5.2,3.3
December,,3.4,1.3,3.1,4.3,3.5,2.5,4.6,4.7,2.7
Total,,,24.35,39.4,25.1,36.2,28.9,35.3,23.71,38.7
,,,,,,,,,,
1836,ACTON BURN ,1952-2003,,,,,,,,
also station number RR4087,,,,,,,,,,
