"ECCLES NR MANCHESTER 10"" gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,SJ775990,Long,-2.3405573,Lat,53.487227,Elevation,145,ft,,,,,,,,,,,,
Station no,RR8172,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,0.28,2.82,3.96,1.72,2.95,3.16,3.31,3,2.49,3.13,1.41,4.1,3.81,3.26,3.47,1.85,5.28,3.36,
February,,2.72,0.8,0.87,3.16,2.49,3.12,2.59,2.23,4,0.95,2.93,2.85,0.55,1.46,0.83,3.99,4.19,1.44,
March,,4.85,4.39,0.96,2.38,1.72,2.16,1.57,3.71,1.4,2.47,7.33,2.79,2.69,2.99,0.78,3.67,2.46,1.57,
April,,2.47,2.46,1.26,1.72,1.1,0.36,4.5,1.47,2.29,2.05,3.64,3,0.7,0.92,0.76,3.13,2.07,1.72,
May,,0.71,3.82,1.79,2.98,2.88,1.7,1.79,0.98,2.97,0.9,1.98,2.55,2.05,1.96,2.68,1.08,3.06,4.17,
June,,3.07,3.25,4.36,2.88,0.94,4.27,1.35,0.67,1.26,1.92,3.43,5.4,2.93,0.89,3.9,2.83,1.9,3.66,
July,,3.48,4.22,1.69,2.28,2.09,4.09,5.33,0.44,1.12,0.77,3.43,7.33,4.32,2.13,5.62,3.25,5.52,1.36,
August,,2.41,2.22,4.74,2.46,4.98,4.58,1.63,3.13,3.12,1.83,1.93,2.99,4.15,5.77,4.07,3.6,4.88,5.52,
September,,7.35,4.54,5.28,4.07,0.57,7.26,3.42,1.85,6.19,2.34,4.35,6.53,2.31,3.48,5.49,3.75,2.41,4.44,
October,,1.64,4.59,5.39,1.91,4.55,2.61,4.1,5,3.13,8.9,4.73,4.4,4.59,4.09,5.03,2.99,4.04,3.9,
November,,4.82,1.67,3.16,3.3,2.82,5.76,2.16,2.72,4.29,2.76,1.52,3.43,2.26,5.11,4.1,3.21,5.54,,
December,,2.88,2.88,2.76,2.01,0.72,4.01,3.77,7.72,3.44,2.38,2.48,3.05,0.77,3.17,1.16,5.01,3.83,,
Total,,36.68,37.66,36.22,30.87,27.81,43.08,35.52,32.92,35.7,30.4,39.16,48.42,31.13,35.23,37.89,38.36,45.18,,
,,,,,,,,,,,,,,,,,,,,
1871 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
