GLASTONBURY-BERE-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST501385,Long,-2.7147,Lat,51.143578,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2006/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.64,2.98,5.36,2.6,3.41,3.7,5.7,2.3,2.33,1.93,3.33,5.62,0.68,0.48,3.05,,,,,,,,,
February,,,,,,,4.91,0.96,1.43,2.24,2.94,0.26,1.21,0.95,2.03,2.27,1.21,1.31,1.23,5.23,3.9,,,,,,,,,
March,,,,,,3.04,3.75,0.27,1.19,2.25,2.96,1.78,1.02,0.31,0.81,0.82,5.23,1.16,1.56,0.97,3.04,,,,,,,,,
April,,,,,,2.91,1.99,0.08,2.78,2.63,2.08,0.83,0.88,1.75,0.59,2.4,2.26,2.11,1.57,2.52,3.3,,,,,,,,,
May,,,,,,1.11,2.36,2.12,0.59,2.63,1.26,4.89,1.71,2.16,3.29,5.1,2.63,4.02,4.16,1.79,,,,,,,,,,
June,,,,,,1.92,0.88,1.89,3.11,0.83,2.3,0.4,2.54,2.27,3.94,2.99,1.99,2.41,0.67,2.23,,,,,,,,,,
July,,,,,,6.28,5.08,3.26,3.73,4.16,2.01,1.67,2.72,2.47,1.68,1.17,2.58,2.25,1.12,4,,,,,,,,,,
August,,,,,,0.73,1.59,2.9,3.63,0.34,4.49,4.23,5.59,2.62,2.44,4.03,1.12,4.91,1.99,4.83,,,,,,,,,,
September,,,,,,3.05,3.3,2.29,1,1.87,1.12,2.18,3.52,2.04,2.31,4.66,1.42,1.48,1.7,4.11,,,,,,,,,,
October,,,,,,1.66,3.68,3.1,2.84,3.68,1.23,2.37,3.58,4.34,3.33,0.97,0.91,3.28,5.37,1.85,,,,,,,,,,
November,,,,,,3.41,2.02,3.79,6.67,6.19,1.87,1.21,2.75,6.09,0.93,4.61,1.88,1.85,3.88,5.85,,,,,,,,,,
December,,,,,,2.31,2.35,4.12,2.07,2.79,1.91,3.4,2.39,3,5,3.28,3.16,4.39,1.89,2.39,,,,,,,,,,
Total,,,,,,,36.55,27.76,34.4,32.21,27.58,26.92,33.61,30.3,28.68,34.23,27.72,34.79,25.82,36.25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Mar Observations started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Given total 27.66 altered as incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Observer began recording at Crediton Shobrooke House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
