GLENDEVON GLENSHERUP RES (new gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN962042,Long,-3.674,Lat,56.2198,Elevation,945,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.56,5,8.3,7,3.35,5.41,9,4,2,8.26,4,5.65,4.76,8.43,4.12,5.34,4,5.9,5.14,10.63,2.81,8.27,6.3,9.18,12.8,8.42,7.71,6.87,8.9,11.55,8.9,15.71,3.34,7.64,3.11,7.4,6.76,7.4,2.13,6.47,4.68,11.17,6.71,1.96,2.42,5.05,10.16,7.52,3.3,7.38,6.48,8.8,7.41,4.18,5.93,2.5,1.69,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,6,5.6,4.8,6.4,2.17,3.52,6.44,5,3.8,8.41,5.59,3.38,1,6.69,9.76,5.79,12.36,7.43,8,8.45,1.75,9.94,2.53,8.87,0.76,5.45,8.12,1.75,9.45,8.24,3.54,8.35,2.21,1.4,5.52,0.17,5.29,0.34,7.13,4.1,7.13,2.91,8.5,2.08,7.69,2.3,5.89,2.56,8.24,3.42,3.23,7.22,6.54,6.13,4.86,1.64,2.43,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,8.75,2.75,7.2,2.25,3.2,4,7.2,4.45,4.3,3.8,4,6,0.5,4.28,3,8.4,11.62,7.56,3.85,5.26,3.6,2.41,5,4.55,12.69,5.17,4.2,1,1.29,5.4,4.9,6.52,1.22,4.33,1.89,3.81,3.71,6.78,2.48,3.74,5.36,4.66,2.3,5.27,3.19,3.79,3.33,0.62,4.98,4.52,5.43,5.2,2,4.62,3.78,5.71,2.1,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,5.22,3.6,7.26,4.55,3.9,3,1.28,5,1.74,2.5,2.75,1.5,4,5.28,4.63,1.37,4.55,4.38,4.84,4.34,1.67,1.78,4,3.63,2.68,3.55,4.8,3.57,7.6,3.22,2.66,1.89,2,1.71,3.35,6.86,2.42,7.48,5.28,2.22,3,0.57,1.21,4.5,3.11,4.73,4.77,3.85,2.58,1.38,9.42,4.35,5.36,3.8,4.57,2.9,2.73,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3,3.77,6,3.9,2.15,1.77,2.13,3,3,7.26,4.8,1.12,5,2.75,2.7,2.59,5.25,3.37,1.71,6.26,4.1,3.11,1.63,6.45,4.5,5.43,2.55,7.35,8.34,3.69,3.12,1.78,4.83,3,5.33,4.15,2.17,2.82,0.6,1.38,3.4,6.45,1.26,1.5,5.12,4.9,5.56,3.5,7.2,1.77,4.14,4.3,3.48,2.2,1.89,1.56,2.78,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,6.7,4.11,2.43,3.2,3.7,1.68,4.37,2,1,1.85,6,2.7,3,1.7,3.63,6.6,5.45,1.5,1.72,6,4.57,1.79,4,2.73,0.29,2.28,2.91,4.28,0.93,4.38,5.19,5.58,3,3.39,6.99,1.93,1.88,2.9,5.89,2.25,3,6.76,2.68,1.4,1.12,1.69,5.75,5.2,6.4,4.51,5.65,7.16,1.47,2.25,3.58,4.2,2.81,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.63,1.44,4.5,4.5,2,2.4,7.36,3.22,2,2.39,2.61,3.8,4,5.83,3.34,3.87,0.72,5,4.95,4.9,2.25,4.62,1.6,3.86,4.66,7,3.39,7,2.24,3.83,6.17,3.62,4.94,4.17,7.25,4.35,4.65,2.87,1.28,4.91,4.5,5.69,4.53,6.44,4.09,3.5,4,4.85,5.34,5.43,5.61,6.1,2.71,6.9,5.55,3.25,6.75,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,9,6.4,1.65,9,6.8,4,7,6.35,4.72,4.87,4.37,5,3.41,12,4.78,4.89,1.91,4.72,5.42,3.39,8.46,4.68,2.74,6,7.46,3.65,7.94,6,4.22,4.41,6.8,7.32,6.77,8.13,2.81,1.27,2.46,4.82,5.22,3,4,3.05,1,1.83,5.32,8.99,8.33,4.38,2.98,5.5,0.07,10.62,4.18,7.89,6.85,5.37,2.8,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,4.22,7,4.16,6.28,5,2.47,5,2,2,2,1.38,6.5,2.39,1.16,2.7,3.91,3.36,2.7,2.17,1.73,4.15,6.68,5.58,2.83,2.7,2.88,6.72,8.54,3.67,4.76,7.14,5.48,1.73,6.63,2.16,4,2,4.7,8.86,4.84,2.77,6.99,2.51,3.44,2.91,8.1,5.77,4.53,8.15,10.21,6.34,5.75,3.26,10.25,5.38,3.62,5.47,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,3,7.81,8.28,7.05,6.2,4.4,12,3.29,4,7.5,8.17,3.94,9.4,4.35,6.14,7.32,4,2.83,5.8,10.68,9.15,8.65,0.33,2,5.51,3.69,7.7,5.2,4.66,6.38,7.22,9.5,7.6,7.64,4.86,7.32,3.84,7.48,10.68,4.14,3.76,9.3,4.05,6.02,6.6,5.6,12.28,5.56,7.85,0.45,3.67,7.48,7,4.6,1,4.71,3.48,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
