TUNSKEEN,,,,,,,,,,,,
Grid ref,NX424905,Long,-4.476761,Lat,55.183592,,,,,,,
Station no,5256/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.57,11.31,,,,,,,,,,
February,4.70,3.50,,,,,,,,,,
March,4.80,4.00,,,,,,,,,,
April,3.08,3.23,,,,,,,,,,
May,3.08,3.25,,,,,,,,,,
June,3.10,5.71,,,,,,,,,,
July,5.03,6.14,,,,,,,,,,
August,9.05,6.91,,,,,,,,,,
September,7.15,7.04,,,,,,,,,,
October,0.91,11.75,,,,,,,,,,
November,14.03,6.05,,,,,,,,,,
December,17.95,9.90,,,,,,,,,,
Total,80.45,78.79,,,,,,,,,,
Calc annual,80.45,78.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
