TUNSKEEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX424905,Long,-4.476761,Lat,55.183592,Elevation,1010,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5256/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,14.66,4.89,7.6,13.28,11.59,7.14,1.84,1.9,,14.76,9.21,7.19,10.6,7.5,13.07,8,5.94,7.57,11.31,,,,,,,,
February,,,,1.74,11.53,3.52,7.35,4.98,13.04,1.51,3.4,,15.55,6.67,12.07,5.91,1,7.19,8.13,6.07,4.7,,,,,,,,,
March,,,,3.8,3.3,5.04,2.33,5.05,7.88,8.15,3.61,,4.9,,7.25,,6,,4.27,5.82,4.8,,,,,,,,,
April,,,,5.08,5.91,1.6,4.69,1.65,5.03,3.67,3.62,,8.22,5.51,3.99,3.23,10.73,,9.94,8.59,3.08,,,,,,,,,
May,,,,8.61,1.2,2.73,3.11,6.87,1.36,1.48,6,5.5,5.05,,3.87,1.13,4.59,,2.9,3.45,3.08,3.25,,,,,,,,
June,,,,3.18,5.73,3.56,5.95,10.06,4.49,1.44,2.24,2.28,7.36,,7.65,3.91,4.95,8,1.5,3.94,3.1,5.71,,,,,,,,
July,,,,4.55,5.97,9.43,6.22,10.28,6.53,5.52,5.23,9.56,5.06,,4.09,7.49,5.03,6.94,1.35,8.89,5.03,6.14,,,,,,,,
August,,,,7.99,2.97,6.78,2.9,3.81,3.12,5.72,6.44,11.41,11.94,,3.4,5.25,0.05,8.75,6.9,10.57,9.05,6.91,,,,,,,,
September,,,,11.22,9.18,6.66,4.83,8.56,4.08,5.15,3.27,11.11,8,,9.95,13.99,8.06,7.38,3.85,13.97,7.15,7.04,,,,,,,,
October,,,5.31,13.38,14.91,10.37,4.46,16.57,4.9,5.7,7.75,15.16,10.62,,11.93,0.92,3.04,7.89,8.08,11.21,0.91,11.75,,,,,,,,
November,,,4.11,1.95,9.1,8.4,1.48,14.04,10.53,11.64,6.34,3.21,8.84,,0.85,13.31,11.19,6.92,9.22,8.05,14.03,6.05,,,,,,,,
December,,,2.59,16.41,6.24,11.28,3.32,6.95,2.79,13.71,4.46,15.42,7.26,11.75,8.29,,4.19,10.15,10,3.49,17.95,9.9,,,,,,,,
Total,,,,92.57,80.93,76.97,59.92,100.41,70.89,65.53,54.26,,107.56,,80.53,,66.33,,74.14,89.99,80.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Jan, Feb, Mar, Apr, Total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944 Mar, May-Nov, total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 Mar, Dec estimated from nearby stations removed along with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948 Mar, Apr,May, Total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952 Mar, Apr, May total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
