SOUTH MOOR (COLLIERY OFFICE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ190516,Long,-1.705552,Lat,54.858833,Elevation,616,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3546/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,
January,,,,,,,,,5.64,1.45,3.7,1.4,3.18,0.84,4.76,1.52,2.04,8.39,0.88,1.98,1.48,2.3,0.86,2.44,1.65,3.59,1.77,2.17,2.17,4.34,
February,,,,,,,,,0.78,2.15,7.05,1.35,1.06,2.32,1.46,0.58,6,1.3,0.73,4.1,2.8,0.48,2.06,2.02,2.58,2,3.15,3.79,0.93,2.68,
March,,,,,,,,,3.31,2.13,2.56,0.78,0.66,0.56,0.53,1.78,5.28,0.68,1.16,0.96,4.61,1.37,0,1.32,1.72,0.6,0.49,3.04,0.68,3.45,
April,,,,,,,,,1.15,1.5,1.51,1.04,1.18,1.76,1.66,1.33,4.52,1.56,1.73,1.93,1.35,1.48,2.33,0.88,0.51,1.12,0.48,1.85,1.49,0.9,
May,,,,,,,,,1.34,1.71,1.68,1.38,2.89,2.02,3.4,2.08,2.11,2.07,0.69,2.12,4.11,1.68,2.17,4.06,2.02,0.33,2.04,3.25,0.48,2.42,
June,,,,,,,,,2.11,1.25,0.76,2.13,2.34,1.7,2.26,1.7,2.97,4.45,0.84,1.15,1.88,1.76,2.37,2.3,2.99,2.93,1.19,2.94,1.65,0.36,
July,,,,,,,,,3.79,6.94,0.9,3.3,1.8,2.3,2.12,3.8,2.65,1.11,2.27,4.07,1.55,0.81,1.68,1.86,1.39,2.66,2.64,3.9,0.98,4.07,
August,,,,,,,,,2.4,1.29,2.33,2.21,4.79,1.7,3.73,3.42,0.44,5.16,2.87,4.84,4.69,2.33,5.39,6.65,0.93,7.03,5.07,1.31,0.58,2.72,
September,,,,,,,,,1.65,1.44,0.37,3.5,2.82,7.52,1.47,3.6,1.49,3.63,0.99,3.44,1.41,3.9,1.13,1.99,0.68,3.35,3.1,1.98,0.92,2.17,
October,,,,,,,,,5.6,3.25,3.44,2.93,2.1,4.09,3.78,1.37,0.86,1.75,2.7,1.17,1.34,3.32,1.57,4.09,1.55,1.7,1.77,1.31,1.06,7.19,
November,,,,,,,,,2.33,3.12,2.95,0.78,2.37,4.99,1.19,5.77,2.1,1.45,4.08,5.74,6.68,3.65,1.02,4.27,2.24,0.38,1.4,0.44,3.86,3.06,
December,,,,,,,,,1.2,2.58,0.23,2.2,1.33,1.67,1.44,2.45,2.41,2.21,3.1,2.26,2.49,2.68,0.77,1.95,3.27,2.03,1.5,3.97,4.13,1.68,
Total,,,,,,,,,31.3,28.81,27.48,23,26.52,31.47,27.8,29.4,32.87,33.76,22.04,33.76,34.39,25.76,21.35,33.83,21.53,27.72,24.6,29.95,18.93,35.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,SOUTH MOOR ,NZ1910051485,01/01/1939,31/12/1963,,,,,,,,,,,,,,,,,,,,,,,,,,,
