"SOUTH MOOR (COLLIERY OFFICE)",,,,,,,,,,,,
Grid ref,NZ190516,Long,-1.705552,Lat,54.858833,,,,,,,
Station no,3546/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.48,2.30,0.86,2.44,1.65,3.59,1.77,2.17,2.17,4.34,,
February,2.80,0.48,2.06,2.02,2.58,2.00,3.15,3.79,0.93,2.68,,
March,4.61,1.37,0.00,1.32,1.72,0.60,0.49,3.04,0.68,3.45,,
April,1.35,1.48,2.33,0.88,0.51,1.12,0.48,1.85,1.49,0.90,,
May,4.11,1.68,2.17,4.06,2.02,0.33,2.04,3.25,0.48,2.42,,
June,1.88,1.76,2.37,2.30,2.99,2.93,1.19,2.94,1.65,0.36,,
July,1.55,0.81,1.68,1.86,1.39,2.66,2.64,3.90,0.98,4.07,,
August,4.69,2.33,5.39,6.65,0.93,7.03,5.07,1.31,0.58,2.72,,
September,1.41,3.90,1.13,1.99,0.68,3.35,3.10,1.98,0.92,2.17,,
October,1.34,3.32,1.57,4.09,1.55,1.70,1.77,1.31,1.06,7.19,,
November,6.68,3.65,1.02,4.27,2.24,0.38,1.40,0.44,3.86,3.06,,
December,2.49,2.68,0.77,1.95,3.27,2.03,1.50,3.97,4.13,1.68,,
Total,34.39,25.76,21.35,33.83,21.53,27.72,24.60,29.95,18.93,35.04,,
Calc annual,34.39,25.76,21.35,33.83,21.53,27.72,24.60,29.95,18.93,35.04,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
