"NUNTHORPE, THE BOX",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3484,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,1.01,1.69,1.74,2.82,2.67,3.08,
February,,,,,,3.19,1.24,0.74,1.22,0.72,1.47,
March,,,,,,2.10,0.99,2.02,1.79,0.12,3.13,
April,,,,,,2.32,1.15,1.91,1.32,1.44,3.17,
May,,,,,,2.33,1.80,1.57,1.60,1.30,1.48,
June,,,,,,0.36,2.93,3.12,5.58,1.57,1.46,
July,,,,,,2.46,3.90,4.28,0.91,2.04,7.38,
August,,,,,,3.01,2.10,6.35,3.76,2.44,3.68,
September,,,,,,2.37,1.56,4.88,0.61,1.20,2.32,
October,,,,,,2.35,3.19,2.15,2.67,2.54,2.30,
November,,,,,,2.97,3.65,3.73,2.53,2.41,3.40,
December,,,,,,3.78,1.49,2.37,1.30,3.24,1.98,
Total,,,,,,28.25,25.69,34.86,26.11,21.69,34.85,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.25,25.69,34.86,26.11,21.69,34.85,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,
