NUNTHORPE - THE BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ538149,Long,-1.170,Lat,54.527,Elevation,287,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.01,1.69,1.74,2.82,2.67,3.08,2.40,0.96,2.30,1.10,2.26,3.41,2.24,2.19,3.73,1.20,3.24,2.73,2.69,1.28,4.76,1.07,1.30,4.93,0.74,1.34,1.78,1.82,1.24,2.78,2.04,2.69,1.46,1.39,3.51,4.93
February,3.19,1.24,0.74,1.22,0.72,1.47,1.48,1.13,3.90,0.87,3.52,2.90,2.37,1.24,0.69,2.45,5.29,1.63,0.45,2.35,1.67,0.84,1.41,0.99,0.55,3.18,2.21,0.76,2.18,1.55,2.02,2.25,2.01,3.24,0.57,2.44
March,2.10,0.99,2.02,1.79,0.12,3.13,1.30,2.32,1.47,1.61,0.59,1.51,3.45,0.07,2.88,2.63,2.16,0.93,0.44,1.20,0.39,1.22,2.89,1.05,1.63,0.85,3.47,1.50,0.13,1.53,1.87,0.61,0.99,3.34,0.60,1.16
April,2.32,1.15,1.91,1.32,1.44,3.17,3.55,0.98,0.94,2.82,3.12,1.38,2.37,0.31,1.43,2.81,1.13,0.44,0.96,1.80,1.77,1.94,2.88,0.75,2.46,2.23,2.18,1.60,1.97,0.19,1.16,0.93,0.51,1.56,1.54,0.52
May,2.33,1.80,1.57,1.60,1.30,1.48,2.75,5.77,2.74,0.80,1.13,1.89,3.09,3.14,2.09,1.66,1.45,1.56,1.74,1.48,2.82,2.05,1.84,1.30,1.18,1.94,5.16,1.17,1.56,3.10,2.49,0.53,1.40,3.12,0.80,0.85
June,0.36,2.93,3.12,5.58,1.57,1.46,3.86,1.13,2.36,2.43,2.91,4.38,1.55,2.26,2.63,0.92,0.79,1.35,1.57,2.16,2.42,1.72,2.66,5.21,1.01,2.05,1.99,1.29,2.72,2.97,2.64,4.61,3.04,3.13,2.31,0.38
July,2.46,3.90,4.28,0.91,2.04,7.38,4.65,4.00,2.52,1.90,0.62,3.57,1.08,2.60,3.26,7.55,1.50,3.68,1.45,3.02,1.75,4.52,2.98,1.31,1.62,2.80,2.49,1.07,3.51,1.54,1.14,3.43,3.51,2.49,2.56,5.50
August,3.01,2.10,6.35,3.76,2.44,3.68,2.58,2.79,0.61,2.32,1.81,2.47,1.64,3.22,3.01,1.55,3.59,2.70,3.42,3.41,4.52,3.68,0.41,3.68,2.38,4.13,5.18,2.39,3.12,6.20,0.96,7.36,2.41,2.19,0.36,3.26
September,2.37,1.56,4.88,0.61,1.20,2.32,5.48,2.56,1.97,1.61,4.89,3.78,1.49,2.11,2.11,1.34,1.20,2.56,4.25,4.68,1.60,3.10,1.88,1.45,0.67,2.72,1.49,6.20,2.06,1.49,1.28,1.62,3.23,1.49,1.02,2.38
October,2.35,3.19,2.15,2.67,2.54,2.30,1.00,3.27,4.18,2.70,3.51,1.40,1.43,3.66,5.12,3.16,3.58,2.82,1.76,2.90,2.86,1.25,0.41,1.56,2.14,1.27,1.10,2.99,2.18,4.26,1.64,1.35,1.91,1.50,1.12,6.62
November,2.97,3.65,3.73,2.53,2.41,3.40,1.69,1.60,3.59,2.25,4.29,2.78,2.69,2.85,2.01,3.32,2.49,2.52,2.99,4.68,1.38,3.89,2.35,1.61,3.63,6.06,4.85,4.13,1.62,4.26,1.93,1.49,2.42,0.89,4.02,3.57
December,3.78,1.49,2.37,1.30,3.24,1.98,0.94,1.28,1.61,3.18,2.67,1.46,4.64,2.98,1.11,2.86,0.41,1.92,1.18,1.30,0.91,2.62,2.13,1.57,2.69,2.54,3.19,1.88,1.40,1.88,2.62,1.78,1.70,2.87,2.80,3.15
Total,28.25,25.69,34.86,26.11,21.69,34.85,31.68,27.79,28.19,23.59,31.32,30.93,28.04,26.63,30.07,31.45,26.83,24.84,22.90,30.26,26.85,27.90,23.14,25.41,20.70,31.11,35.09,26.80,23.69,31.75,21.79,28.65,24.59,27.21,21.21,34.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The Box was on Guisborough Road, just south of Nunthorpe Station.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1974 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
