"NUNTHORPE (THE BOSE)",,,,,,,,,,,,
Grid ref,NZ538149,Long,-1.170249,Lat,54.526536,,,,,,,
Station no,3484,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.78,1.82,1.24,2.78,2.04,2.69,1.46,1.39,3.51,4.93,,
February,2.21,0.76,2.18,1.55,2.02,2.25,2.01,3.24,0.57,2.44,,
March,3.47,1.50,0.13,1.53,1.87,0.61,0.99,3.34,0.60,1.16,,
April,2.18,1.60,1.97,0.19,1.16,0.93,0.51,1.56,1.54,0.52,,
May,5.16,1.17,1.56,3.10,2.49,0.53,1.40,3.12,0.80,0.85,,
June,1.99,1.29,2.72,2.97,2.64,4.61,3.04,3.13,2.31,0.38,,
July,2.49,1.07,3.51,1.54,1.14,3.43,3.51,2.49,2.56,5.50,,
August,5.18,2.39,3.12,6.20,0.96,7.36,2.41,2.19,0.36,3.26,,
September,1.49,6.20,2.06,1.49,1.28,1.62,3.23,1.49,1.02,2.38,,
October,1.10,2.99,2.18,4.26,1.64,1.35,1.91,1.50,1.12,6.62,,
November,4.85,4.13,1.62,4.26,1.93,1.49,2.42,0.89,4.02,3.57,,
December,3.19,1.88,1.40,1.88,2.62,1.78,1.70,2.87,2.80,3.15,,
Total,35.09,26.80,23.69,31.75,21.79,28.65,24.59,27.21,21.21,34.76,,
Calc annual,35.09,26.80,23.69,31.75,21.79,28.65,24.59,27.21,21.21,34.76,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
