STOKE-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ820750,Long,0.61756682,Lat,51.444743,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,373/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.18,0.88,2.39,1.16,1.75,1.5,2.17,0.85,2.11,1.41,1.25,1.28,1.31,1.11,3.55,3.96,2.03,3.28,2.14,2.42,1.83,4.12,1.11,,,,,,
February,,,1.27,2.36,0.7,2.31,2.3,3.13,1.04,0.6,0.9,1.83,0.4,0.65,0.16,2.25,1.38,3.44,0.76,0.93,1.17,1.23,0.76,1.03,1.33,,,,,,
March,,,1.59,1.87,0.62,0.83,0.18,1.59,1.28,0.06,1.24,0.27,1.05,1.5,1.91,0.43,0.78,3.03,0.46,1.27,2.71,1.64,2.67,0.31,0.11,,,,,,
April,,,1.77,1.21,2.92,1.51,4.54,1.98,2.16,1.28,1.05,3.17,1.53,0.5,1.5,2.12,1.5,2.28,0.4,1.71,1.2,1.33,1.01,0.7,1.4,,,,,,
May,,,0.94,2.03,1.85,1.69,0.95,1.19,1.72,0.79,1.96,2.72,2.76,1.09,0.57,1.04,0.28,2.74,2.15,1.77,1.4,1.28,2.24,2.44,0.26,,,,,,
June,,,1.04,0.89,1.85,0.27,2.61,1.83,2.36,0.85,1.07,0.97,0.24,1.6,1.25,2.19,3.07,2.46,0.47,1.35,0.34,0.73,0.17,1.08,1.26,,,,,,
July,,,2.51,0.71,2.63,2.38,1.66,3.09,1.86,1.33,2.25,2.47,2.1,4.08,0.9,0.6,2.64,1.38,1.64,1.48,5.02,3.64,2.01,1.69,1.89,,,,,,
August,,,1.41,1.48,1.5,2.87,1.51,3.58,2.63,1.41,3.02,3.61,0.57,0.36,1.16,2.07,0.84,1.41,1.58,2.55,0.02,3.76,1.81,1.12,2.28,,,,,,
September,,,2.05,1.46,1.92,1.79,0.66,3.43,0.39,0.23,3.05,1.88,1.47,3.64,1.09,2.63,1.57,1.67,1.87,0.88,0.88,0.19,1.96,1.97,2.14,,,,,,
October,,,1.74,4.54,3.43,3.12,2.33,1.13,2.81,2.12,0.8,0.61,5.12,1.28,1.14,1.86,1.68,1.92,1.81,6.08,2.36,1.04,2.47,2.45,3.8,,,,,,
November,,,1.08,2.19,3.25,2.06,4.07,2.41,2.25,4.3,3.69,2.35,0.66,1.06,1.21,3.75,3.34,1.57,1.67,3.55,5.95,2.44,1.92,1.3,3.49,,,,,,
December,,,2.01,1.53,2.42,2.15,0.88,3.02,3.21,4.28,1.92,0.5,0.3,0.41,3,2.19,1.55,3.72,2.26,1.06,1.12,1.46,1.81,1.43,1.29,,,,,,
Total,,,19.59,21.15,25.48,22.14,23.44,27.88,23.88,18.1,23.06,21.79,17.45,17.45,15.2,22.24,22.18,29.58,17.1,25.91,24.31,21.16,20.66,19.64,20.36,,,,,,
