"SALISBURY (ATHERTON HOUSE)",,,,,,,,,,,,
Grid ref,SU150307,Long,-1.787268,Lat,51.075432,,,,,,,
Station no,1510,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.93,2.68,0.78,1.19,3.13,4.92,2.31,3.90,4.52,3.55,,
February,5.88,0.47,1.38,2.50,1.36,0.11,3.72,2.44,0.21,2.80,,
March,3.69,2.77,0.52,2.89,1.28,0.93,2.01,1.88,4.07,1.48,,
April,3.15,2.10,2.41,0.22,0.38,1.24,0.25,0.53,2.59,1.36,,
May,2.79,3.13,1.89,3.36,3.95,0.35,1.67,2.16,0.94,0.97,,
June,0.45,1.42,1.80,2.96,3.17,1.72,0.98,4.08,1.20,2.16,,
July,0.78,0.76,2.76,2.10,0.18,2.96,4.25,1.78,1.66,3.41,,
August,4.60,4.24,2.05,3.29,0.20,3.69,3.34,4.08,1.05,2.78,,
September,3.87,3.33,2.47,2.35,0.95,3.04,2.89,4.36,0.10,4.64,,
October,0.68,4.48,3.67,2.58,2.96,2.03,2.45,3.21,3.00,8.59,,
November,9.23,3.23,2.13,7.32,3.14,0.66,2.37,2.51,4.14,4.84,,
December,2.96,2.87,0.67,3.26,3.83,4.82,2.71,3.45,7.70,3.57,,
Total,41.01,31.48,22.53,34.02,24.53,26.47,28.95,34.38,31.18,40.15,,
Calc annual,41.01,31.48,22.53,34.02,24.53,26.47,28.95,34.38,31.18,40.15,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
