WICK H.R.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND 360 509,Long,-3.097674,Lat,58.441868,Elevation,39,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.23,1.6,0.76,1.22,2.93,2.5,2.52,4.23,1.91,3.15,2.61,1.24,1.72,2.17,1.24,,,,,,,,
February,,,,,,,,3.04,1.31,1.23,1.48,2.91,1.34,2.89,1.18,2.69,1.6,1.53,3,3.68,1.31,2.22,,,,,,,,
March,,,,,,,,1.75,1.92,1.65,1.67,3.36,3.23,4.45,2.98,2.31,1.31,0.48,2.7,2.4,2.92,3.09,,,,,,,,
April,,,,,,,,2.02,0.32,1.23,1.18,1.32,2.09,1.6,0.38,0.72,1.45,1.84,2.59,2.55,1.85,1.03,,,,,,,,
May,,,,,,,,3.91,1.28,1.58,1.29,2,1.22,2.63,2.28,1.81,2.73,1.05,2.58,0.67,1.88,2.17,,,,,,,,
June,,,,,,,,3.48,1.13,0.83,1.9,2.25,3.97,1.14,1.98,1.52,1.44,1.03,1.62,0.95,2.54,1.27,,,,,,,,
July,,,,,,,,3.2,2.24,3.13,2.55,3.27,3.85,2.02,1.55,1.83,2.63,4.22,2.18,1.92,3.54,3.43,,,,,,,,
August,,,,,,,,2.97,1.42,2.88,0.34,1.61,2.22,2.17,3.84,0.77,2.33,1.65,4.48,5.39,3.32,4.53,,,,,,,,
September,,,,,,,,0.8,3.27,1.8,3.63,1.4,2.52,3,0.94,3.38,1.57,2.19,1.59,2.64,2.68,2.47,,,,,,,,
October,,,,,,,,2.69,1.69,2.23,3.09,2.96,2.5,3.19,4.33,2.57,1.59,2.17,3.9,4.15,4.86,2.43,,,,,,,,
November,,,,,,,,3.73,1.94,1.49,3.35,2.38,5.07,2.27,4.06,1.04,2.7,2.64,1.82,2.12,4.24,2.7,,,,,,,,
December,,,,,,,,2.59,3.7,1.32,6.45,2.07,3.43,4.72,2.36,2.28,4.04,4.82,2.25,2.5,1.62,3.68,,,,,,,,
Total,,,,,,,,32.41,21.82,20.13,28.15,28.46,33.94,32.6,30.11,22.83,26.54,26.23,29.95,30.69,32.93,30.26,,,,,,,,
