HERNE BAY WATER WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR186679,Long,1.139085,Lat,51.368068,Elevation,122,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.39,2.42,1.64,0.79,1.92,0.39,2.04,2.67,0.25,0.97,1.84,2.7,0.68,2.18,0.9,1.32,0.61,2.22,1.32,2.1,3.22,0.98,2.32,0.28,2.06,2.46,2.9,2.33,1.5,2.5,1.3,1.75,1.08,1.33,1.16,2.3,0.9,2.12,1.92,1.3,1.4,1.58,1.57,4.38,3.63,2.47,3.62,2.02,1.86,2.05,4.83,1.28,1.84,1.92,2.02,2.08,1.32,1.35,2.45,1.52,1.02,1.25,2.32,3.62,1.18,2.38,1.74,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,4.35,1.25,0.43,0.3,2.07,0.44,2.16,4.23,1.04,0.96,1.42,1.82,0.69,1.42,1.23,0.94,1.08,2.47,0.92,1.1,0.74,1.97,2.5,3.34,0.44,0.36,1.7,0.28,0.85,1.48,2.2,0.46,2.6,2.55,3.12,0.9,0.53,1.1,1.86,0.21,0.82,0.2,2.5,2,3.26,0.8,1.14,1.02,1.32,0.62,0.98,1.37,1.08,1.96,1.25,0.82,0.68,2.81,4.22,1.14,1.36,2.07,1.36,1.25,2.92,2.19,0.11,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.44,0.71,1.13,1.82,2.41,1.7,0.68,1,2.03,0.99,1.86,1.43,2.32,1.35,0.61,1.86,2.37,1.23,2.15,2.53,2.27,4.4,0.95,3.7,1.95,0.64,2.76,0.5,1.15,1.7,1.68,0.84,1.03,0.27,1.65,1.46,0.15,1.66,0.19,1.23,1.58,2.22,0.2,0.57,4.45,0.5,1.52,2.77,1.63,2.12,0.22,0.18,1.12,1.74,3.2,0.66,0.82,0.47,2.17,3.06,0.3,2.58,1.06,0.39,0.81,1.1,1.3,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0,1.94,1.2,0.73,1.72,0.69,2.39,0.91,1.39,0.57,1.78,1.02,2.19,0.83,2.5,1.53,1.2,2.12,1.06,0.16,2.03,1.61,1.15,2.05,1.74,1.35,2.55,2.65,1.14,1.83,1.56,2.36,2.2,2.84,1.7,2.1,1.3,1.06,2.57,1.72,0.67,1.75,2.2,0.96,1.67,0.4,2.38,0.98,1.36,1.06,1.48,1.46,1.22,1.38,1.12,1.15,1.14,1.59,1.66,1.03,1.08,0.37,0.19,1.02,0.31,1.81,1.74,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.53,2.76,0.67,0.24,0.82,3.35,2.07,0.75,0.59,1.63,2.6,1.92,0.9,1.67,1.66,1.34,0.68,4.4,0.9,0.68,1.9,1.07,2.47,1.43,0.88,1.12,0.34,0.75,0.5,0.62,2.06,1.88,2.17,1.04,0.64,1.75,0.9,3.16,2.34,2.56,1.1,1.35,1.78,0.2,2.95,1.97,2.03,0.47,1.08,3.12,2.25,0.45,2.09,1.82,0.78,1.43,1.52,1.52,2.48,0.93,1.62,1.62,3.28,0.51,1.06,1.9,1.01,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.39,2.15,0.31,3.3,1.4,2.78,1.12,1.63,0.66,2.37,4.75,1.18,3.45,1.42,1.34,1.31,2.95,3.6,2.93,2.42,0.5,0.94,0.65,1.84,1.36,0.84,0.9,0.9,0.12,1.3,0.52,1.1,0.42,2.63,3.85,2.1,1.25,0.97,0.6,0.13,2.2,0.76,2.17,3.52,1.9,1.18,1.53,0.31,0.72,0.29,1.21,1.22,1.22,1.58,3.06,2.15,0.35,1.15,1.91,2.03,2.58,2.08,1.92,1.91,1,4.89,1.85,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,2.5,3.94,2.7,1.32,0.41,1.16,0.98,0.79,0.5,1.18,4.9,0.97,0.64,1.63,1.38,5.31,2.78,1.93,0.28,2.35,2.06,2.47,2.28,1.1,4.7,2.94,3.62,1.5,0.08,1.63,0.85,1.85,1.8,1.8,5.9,0.9,0.67,2.8,2.42,2.6,1.26,1.13,0.24,4.94,0.84,1.54,0.92,2.65,2.75,2.56,1.85,2.35,2.18,1.98,2.48,1.08,0.72,2.85,1.02,0.76,2.75,2.36,1.72,2.3,2.5,2.55,2.31,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,0.45,1.55,1.4,3.06,2.07,1.24,0.82,0.54,1.23,3.93,2.27,1.08,1.95,0.53,1.38,2.77,2.16,2.6,0.7,5.3,1.3,0.84,2.6,2.04,6.95,0.32,2.09,1.25,1.14,1.88,2,1.76,1.58,2.5,3.03,2.36,2.28,1.96,2.24,1.7,0.68,2.65,2.78,1.07,1.68,3.25,1.34,0.21,3.56,2.14,1.05,1.38,1.64,3.68,0.12,2.42,0.67,1.75,2.67,2.88,1.52,4.06,5.52,3.28,1.54,2.91,0.9,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.2,1.62,0.61,4.2,1.93,0.34,2.26,0.71,0.7,1.55,1.98,2.25,1.05,1.76,0.46,1.02,2.5,1.05,1.22,2.76,1.8,0.48,2.9,0.93,0.64,3.53,0.9,3.32,0.7,3.07,1.12,1.54,1.84,0.6,2.95,0.68,0.34,3.75,1.28,1.73,3.53,1.03,2.8,2.08,3.64,2.47,1.55,1.38,0.23,1.92,2.05,2.12,0.64,1.86,1.26,1.42,2.31,1.65,2.85,4.48,3.05,1.08,0.57,1.34,2.91,4.34,0.35,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.75,3.41,2.87,4.46,0.35,1.49,1.93,1.65,1,1.64,3.34,1.81,1.86,2.3,3.9,1.4,4.74,1.28,5.25,2.8,3.65,2.7,2.7,3.06,2.8,2.2,1.32,0.95,1.17,2.1,4.72,3.2,2.6,3.46,1.37,3.33,2.77,1.3,0.5,5.4,1.5,1.34,3.34,2.08,2.55,3.05,9.75,3.12,1.25,3.17,1.65,4.52,1.25,1.92,0.32,1.22,5.67,0.43,1.66,1.68,1.95,0.95,4.25,0.93,0.97,3.89,2.82,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
