"HERNE BAY WATER WORKS",,,,,,,,,,,,
Grid ref,TR163673,Long,1.105730,Lat,51.363561,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.67,0.25,0.97,1.84,2.70,0.68,2.18,0.90,1.32,0.61,,
February,4.23,1.04,0.96,1.42,1.82,0.69,1.42,1.23,0.94,1.08,,
March,1.00,2.03,0.99,1.86,1.43,2.32,1.35,0.61,1.86,2.37,,
April,0.91,1.39,0.57,1.78,1.02,2.19,0.83,2.50,1.53,1.20,,
May,0.75,0.59,1.63,2.60,1.92,0.90,1.67,1.66,1.34,0.68,,
June,1.63,0.66,2.37,4.75,1.18,3.45,1.42,1.34,1.31,2.95,,
July,0.79,0.50,1.18,4.90,0.97,0.64,1.63,1.38,5.31,2.78,,
August,0.54,1.23,3.93,2.27,1.08,1.95,0.53,1.38,2.77,2.16,,
September,0.71,0.70,1.55,1.98,2.25,1.05,1.76,0.46,1.02,2.50,,
October,1.65,1.00,1.64,3.34,1.81,1.86,2.30,3.90,1.40,4.74,,
November,2.12,1.00,1.36,2.45,1.50,2.44,3.78,1.92,1.19,0.55,,
December,1.95,2.80,1.20,1.21,2.14,0.35,1.64,1.63,2.10,3.35,,
Total,18.95,13.19,18.35,30.40,19.82,18.52,20.51,18.91,22.09,24.97,,
Calc annual,18.95,13.19,18.35,30.40,19.82,18.52,20.51,18.91,22.09,24.97,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
