"BIRMINGHAM (GREAT BARR)",,,,,,,,,,,,
Grid ref,SP051941,Long,-1.926228,Lat,52.544730,,,,,,,
Station no,2487/5/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.78,1.21,2.06,2.84,5.96,,
February,,,,,,0.65,2.52,4.64,0.24,2.33,,
March,,,,,,1.05,2.25,1.61,1.60,1.84,,
April,,,,,,1.51,0.25,0.80,3.20,1.12,,
May,,,,,,0.92,1.22,1.83,0.74,1.05,,
June,,,,,,1.94,1.12,3.87,0.76,2.44,,
July,,,,,,2.24,3.91,4.30,2.50,3.29,,
August,,,,,,5.64,3.62,1.95,2.92,4.47,,
September,,,,,1.72,2.49,4.29,3.15,0.26,5.47,,
October,,,,,1.63,1.34,1.38,2.62,2.51,4.81,,
November,,,,,2.67,0.79,1.99,1.80,3.84,3.43,,
December,,,,,2.33,3.23,2.04,3.10,3.91,3.64,,
Total,,,,,,25.58,25.80,31.73,25.32,39.85,,
Calc annual,0.00,0.00,0.00,0.00,8.35,25.58,25.80,31.73,25.32,39.85,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
