DORRINGTON-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ476029,Long,-2.7754655,Lat,52.621323,Elevation,350,ft.,,,,,,,,,,,,,
Station no,2286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.63,1,3.21,2.76,4.91,1.67,5.26,1.63,4.15,1.28,3.53,1.1,3.37,,,,
February,,,,,0.5,3.81,1.99,2.3,2.72,0.45,0.46,2.08,0.19,2.79,0.28,3.02,2.34,,,,
March,,,,,1.01,1.13,0.77,3,2.41,0.43,2.41,0.3,2.76,2.45,1.08,0.85,2.03,,,,
April,,,,,3.08,1.95,1.93,2.04,1.76,0.62,2.52,2.92,4.32,1.12,2.51,3.26,1.49,,,,
May,,,,,5.49,2.32,3.4,1.43,1.68,2.13,2.22,4.69,4.72,2.06,1.61,0.83,1.19,,,,
June,,,,,2.64,0.11,1.5,3.45,3.67,1.9,1.1,3.76,1,2.96,0.97,2.59,3.06,,,,
July,,,,,4.57,2.02,2.04,1.67,0.98,2.59,3.67,3.63,3.66,2.09,1.24,0.64,5.38,,,,
August,,,,,2.56,2.71,2.46,4.75,3.51,1.74,2.5,5.1,1.35,0.99,2.6,0.51,0.52,,,,
September,,,,,3.96,3.49,1.61,3.27,1.49,1.34,3.33,1.77,2.37,1.26,2.09,3.47,4.17,,,,
October,,,,,4.88,3.86,2.5,2.49,4.96,3.18,3.55,0.72,4.55,4.25,2.89,4.54,1.83,,,,
November,,,,,1.65,1.67,5.71,3.68,3.8,6.42,2.92,5.12,2.36,0.89,2.31,4.94,3.76,,,,
December,,,,,4.36,2.66,0.58,2.31,1.63,6.97,3.12,1.16,1.31,0.61,4.42,3.86,2.88,,,,
Total,,,,,37.33,26.73,27.7,33.15,33.52,29.44,33.06,32.88,32.74,22.75,25.53,29.61,32.02,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is Dorrigton School just north of the church as described on the record. Altitude on sheet confusing 250 or 350, probably 360 or 370",,,,,,,,,,,,,,,,,,,,,
