DERBY-ELVASTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SK410325,Long,-1.3920956,Lat,52.888399,Elevation,125,ft.,,,,,,,,,,,,
Station no,RR6134,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.74,2.35,2.32,1.75,2.87,2.12,0.74,1.21,2.58,1.55,1.02,1.37,1.58,,,,,
February,,,2.05,2.85,1.13,2.13,0.3,0.55,0.87,1.67,0.69,0.14,1.08,2.01,1.91,,,,,
March,,,1.49,0.9,1.45,0.82,2.72,1.04,2,3.48,1.17,1.15,0.89,0.44,0.78,,,,,
April,,,3.03,1.98,1.63,1.69,2,1.12,1.76,2.73,0.57,1.96,0.65,0.49,1.24,,,,,
May,,,2.28,1.06,0.85,2.06,5.24,1.46,0.56,3.8,1.72,2.19,1.92,2.25,1.52,,,,,
June,,,3.61,3.7,0.87,2.94,1.23,0.92,2.04,0.55,1.44,4.6,2.9,0.85,1.7,,,,,
July,,,3.41,2.13,3.62,0.3,3.48,1.13,5.09,3.03,1.6,2.13,1.61,2.64,2.42,,,,,
August,,,1.61,1.51,1.76,2.4,2.27,1.34,2.43,3.33,3,3.71,2.42,1.55,2.33,,,,,
September,,,2.38,5.37,1.66,3.11,1.12,2.23,1.07,2.34,1.44,1.01,2.67,1.88,,,,,,
October,,,5.08,2.26,1.25,5.89,5.27,1.54,0.58,2.49,1.49,4.59,2.58,1.86,,,,,,
November,,,3.63,3.57,1.06,2.47,1.58,1.31,3.08,0.83,3.01,2.02,1,1.26,,,,,,
December,,,5,0.87,1.98,0.63,2.79,1.37,1.81,1.93,0.6,3.23,1.16,2.18,,,,,,
Total,,,35.31,28.55,19.58,26.19,30.87,16.13,22.03,27.39,19.31,28.28,19.9,18.78,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church. Altitude from OS map.,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 200m.,,,,,,,,,,,,,,,,,,,,
Gauge moved 31 Aug 1894 2 miles SW to Chellaston,,,,,,,,,,,,,,,,,,,,
