TOLLESHUNT-DARCY-DARCY-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL928116,Long,0.79289519,Lat,51.769866,Elevation,85,ft,,,,,,,,,,,,
Station no,1293/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.51,2.62,4.99,1.39,2.3,2.14,4.04,1.16,1.32,0.96,1.96,2.68,1.29,1.38
February,,,,,,,3.7,0.65,0.77,1.55,1.7,0.7,0.78,1.2,1.59,1.75,1.4,1.22,0.95,2.53
March,,,,,,,2.48,0.41,1.56,2.98,2.53,2.38,0.35,0.28,1.2,1.15,3.88,0.84,0.79,0.65
April,,,,,,,2.67,0.3,2.26,1.46,0.94,0.79,1.12,1.71,0.91,1.22,1.14,1.47,1.02,1.43
May,,,,,,,2.17,1.76,1.69,0.69,1.67,2,1.63,1.15,2.17,1.27,0.57,1.49,1.97,1.44
June,,,,,,,1.96,0.43,1.54,0.22,0.8,0.42,1.8,1.63,1.23,2.13,2.65,1.9,0.59,1.2
July,,,,,,,1.22,1.44,1.43,2.46,2.55,1.51,1.65,2.22,1.31,2.58,1.76,1.04,0.76,1.76
August,,,,,,,0.95,1.24,4.55,0.03,3.71,1.41,0.98,2.28,2.36,4.69,0.43,3.11,0.93,2.75
September,,,,,,,1.76,1.61,0.51,1.14,0.26,1.46,1.99,2.27,1.34,1.6,1.5,1.31,0.81,2.6
October,,,,,,,1.43,2.44,7.61,2.42,1.39,3.3,1.53,3.73,1.49,0.88,0.26,1.37,4.36,0.31
November,,,,,,,1.57,2.55,3.45,5.79,2.17,2.34,1.64,3.44,0.56,2.73,0.86,2.06,2.31,3.44
December,,,,,,,4.22,2.83,1.21,1.49,1.35,2.3,1.33,1.12,2.83,1.99,2.5,1.59,1.27,1.62
Total,,,,,,,27.64,18.28,31.57,21.62,21.37,20.75,18.84,22.19,18.31,22.95,18.91,20.08,17.05,21.11
