MICHELDEVER-SCHOOL-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU513391,Long,-1.26716,Lat,51.14936,Elevation,280,ft,,,,,,,,,,,,,
Station no,660,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.19,6.86,3.05,6.29,1.37,4.8,1.75,3.35,2.5,,0.72,5.99,6.46,3.4,,
February,,,,,,4.83,2.02,4.85,2.16,0.73,0.75,1.79,0.13,5.69,,2.96,4.01,5.6,0.64,,
March,,,,,,0.73,0.82,4.35,3.24,0.03,1.1,0.41,1.84,4.51,,0.3,3.26,3.84,0.29,,
April,,,,,,3.2,3.71,1.96,1.85,0.58,1.96,3.27,3.39,1.29,,3.01,3.12,2.51,0.04,,
May,,,,,,4.23,2.75,1.14,1.53,1.57,1.72,2.9,4.51,2.59,,1.29,0.87,2.62,1.56,,
June,,,,,,0,2.99,4.1,2.75,1.38,0.53,2.39,1.86,4.79,,5.35,2.31,1.21,0.68,,
July,,,,,,3.45,2.18,5.22,1.37,1.33,1.79,4.01,3.89,3.94,,1.86,4.47,1.11,2.45,,
August,,,,,,2.77,1.44,4.88,2.24,1.28,4.07,4.32,0.8,1.18,,3.22,0.2,1.13,1.8,,
September,,,,,,3.53,1.42,7.97,1.27,0.28,3.31,1.25,3.54,4.28,,5.69,3.93,1.86,1.22,,
October,,,,,5.42,4.37,2.66,2.86,6.02,4.17,1.79,0.63,4.52,4,,5.74,2.16,3.71,3.7,,
November,,,,,2.17,3.23,7.8,5.85,2.97,8.73,4.82,3.26,2.11,0.9,,8.86,3.43,2.29,5.25,,
December,,,,,3.1,5.97,0.6,6.08,2.92,7.74,2.83,0.77,1.34,0.71,,5.12,4.23,3.51,5.21,,
Total,,,,,,39.5,35.25,52.31,34.61,29.19,29.47,26.75,31.28,36.38,,44.12,37.98,35.85,26.24,,
,,,,,,,,,,,,,,,,,,,,,
1924-26 Late Not printed,,,,,,,,,,,,,,,,,,,,,
1927 Not printed Too high by 10ins,,,,,,,,,,,,,,,,,,,,,
1928 Jan Marked as estimate Maybe for snow so left in,,,,,,,,,,,,,,,,,,,,,
1930 Trees blown down in great gale,,,,,,,,,,,,,,,,,,,,,
1933 Not printed Big,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
