Rainfall at,CARNOCK (CRAIGLUSCAR RES.)
,
Station no,5472,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.45,4.00,3.95,3.00,2.50,3.70,2.85,6.25,3.00,2.25,
February,4.00,2.00,1.40,0.85,5.00,2.35,2.75,2.40,2.10,2.85,
March,2.50,2.00,1.50,0.45,2.00,2.65,3.75,1.50,1.30,3.20,
April,1.70,2.50,1.50,1.90,1.40,0.65,3.90,2.55,2.00,2.55,
May,3.90,3.60,4.40,2.70,5.00,1.70,3.40,2.30,2.10,2.05,
June,1.15,1.10,3.40,3.10,3.55,2.25,4.70,4.55,1.20,2.10,
July,4.10,1.90,2.60,3.50,3.80,3.80,2.85,2.55,2.50,5.20,
August,3.90,3.05,4.65,4.10,2.45,5.30,0.00,6.40,4.00,5.00,
September,1.05,4.15,3.40,3.10,4.70,5.50,2.45,3.90,1.60,6.40,
October,3.45,3.05,4.45,3.30,4.45,0.95,1.80,3.70,4.50,2.60,
November,2.65,0.04,1.40,6.50,0.60,5.45,3.45,2.70,3.10,3.00,
December,1.45,2.45,1.20,2.95,3.15,2.55,1.80,3.85,4.80,3.80,
Total,32.30,29.84,33.85,35.45,38.60,36.85,33.70,42.65,32.20,41.00,
Calc annual,32.30,29.84,33.85,35.45,38.60,36.85,33.70,42.65,32.20,41.00,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
