"CARNOCK (CRAIGLUSCAR RES.)",,,,,,,,,,,,
Grid ref,NT067906,Long,-3.501405,Lat,56.099036,,,,,,,
Station no,5472,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.10,2.90,1.05,3.15,2.25,,3.95,1.55,0.90,3.50,,
February,2.40,1.20,1.20,2.60,2.05,,3.50,2.60,0.95,2.05,,
March,4.00,2.80,0.70,6.20,2.05,,3.00,2.15,1.35,1.85,,
April,1.80,1.25,2.50,0.45,1.30,,1.40,1.30,2.50,1.70,,
May,2.00,2.30,2.60,7.00,3.30,,2.50,2.50,1.00,2.50,,
June,2.40,2.30,1.66,3.05,2.10,,1.55,3.75,2.30,1.65,,
July,5.85,3.00,5.70,2.55,0.80,,4.45,4.95,3.60,3.40,,
August,3.30,4.35,2.50,4.95,2.55,5.45,3.95,3.60,0.50,4.30,,
September,2.45,1.80,4.15,4.80,2.55,3.35,1.60,4.73,0.85,1.95,,
October,0.65,2.20,1.40,8.70,2.50,1.70,2.55,3.50,1.95,4.77,,
November,5.75,2.40,4.50,4.75,1.60,0.45,1.70,2.00,6.00,3.75,,
December,2.65,2.70,4.65,3.80,5.80,3.05,4.50,7.30,4.65,3.35,,
Total,39.35,29.20,32.60,52.00,28.85,,34.65,39.93,26.55,34.77,,
Calc annual,39.35,29.20,32.61,52.00,28.85,14.00,34.65,39.93,26.55,34.77,,
Difference,0.00,0.00,-0.01,0.00,0.00,NaN,-0.00,0.00,0.00,0.00,,
