DUNFERMLINE CRAIGLUSCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT067906,Long,-3.501405,Lat,56.099036,Elevation,458,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,-999,6.4,-999,-999,-999,2.9,3.7,3.4,4,6.4,4.3,2.5,2.7,3.7,3,3.85,5.1,3.3,1.8,4,4,2.5,9.4,2.2,7.3,1.2,4.7,1.4,3,2.1,4.2,,,,,,,2.7,2,2.1,2.3,5.1,2.4,3.2,1.3,2.1,7.2,6.3,3.6,3.15,8.08,2.2,1.4,3.35,2.5,3.7,4.2,5.55,1.6,2.85,4.2,2.7,1.95,3.95,2.25,2.5,4.1,4.3,8.3,4.6,2.6,3.9,3.25,4.9,2.8,6.05,1.2,4.3,2.35,4.3,2.6,2.65,1,7.05,6.5,5.6,5.05,2.5,2.45,4,3.95,3,2.5,3.7,2.85,6.25,3,2.25,6.1,2.9,1.05,3.15,2.25,,3.95,1.55,0.9,3.5,,
February,,,,-999,2,-999,-999,-999,1.3,2.9,2,2.4,1.7,1.7,3,3.9,3.25,3,3.5,4.2,2.1,4.5,3.9,1.3,1,2,5,3,0.5,4.5,2.4,2,3.2,2.2,,,,,,,1.4,0.5,4.5,4.1,7,3,1.2,1.7,1.6,2.2,8.1,1.4,1.2,5.09,3.4,1.2,1.8,2.25,1.65,1.8,3.5,4.6,2.6,1.65,2.6,3.6,4.1,0.45,4.3,2.1,3.8,1.1,3.1,4.6,1.1,4.2,4.7,2.4,3.7,1.85,1.2,2.7,0.35,4.75,0.2,2.25,3.9,5.15,0.8,4.2,1.5,4,2,1.4,0.85,5,2.35,2.75,2.4,2.1,2.85,2.4,1.2,1.2,2.6,2.05,,3.5,2.6,0.95,2.05,,
March,,,,-999,2.1,-999,0.5,3,2.2,3.6,2.8,3,5.8,0.8,3.6,1.2,2.5,2.5,2.75,0.5,1.1,2.1,3.5,2,2.5,2,3.5,2.2,0.3,4,2.7,3,2.7,1.3,,,,,,,2.2,3.2,1.7,1.1,2.1,3.2,2.8,5.2,1.1,2.2,1.8,2.4,2,6.1,1.2,3.1,2.55,3.5,4.9,6.1,1.58,2.1,4.25,4,4.4,2.55,5.35,2.1,1.3,2.8,3,3.6,2.1,1.8,1,2,2.1,2.8,5.8,0.7,2.75,3.7,3.25,1.75,4.6,1.95,3.05,5.15,1.8,3.5,4.4,2.5,2,1.5,0.45,2,2.65,3.75,1.5,1.3,3.2,4,2.8,0.7,6.2,2.05,,3,2.15,1.35,1.85,,
April,,,,0.7,2.5,1,2.5,4,2.2,4,0.1,1,3.1,0.9,2.1,0.9,0.75,5.1,,1.3,0.5,5.7,1.5,0.2,1.5,1,3,3.2,1,1.7,3.8,1,4,1.9,,,,,,,1.2,1.5,0.8,1.3,1.4,2,1.7,1.6,3.3,4.3,2.2,2.8,1.6,0.9,3.4,2.1,1.1,1.55,1.4,4.3,3,1.75,1.5,3,2,1.7,2.92,3.42,0.8,3.7,2.2,2.3,2.5,3.1,2,3.7,2.3,1.8,1,1.7,1.5,2.1,2.5,1.3,4.5,3.55,1.55,2.1,0.05,2.4,2.85,1.7,2.5,1.5,1.9,1.4,0.65,3.9,2.55,2,2.55,1.8,1.25,2.5,0.45,1.3,,1.4,1.3,2.5,1.7,,
May,,,,-999,3,2.2,3.5,2.4,3.6,,2.1,0.8,3.8,1.4,1.1,2.5,0.2,3.6,2.3,2,1.2,1,2.1,3.1,2,1.3,1.4,2.2,3,2.3,1.3,2.3,2,1.6,,,,,,,2,2.1,4.4,2.1,3,0.6,0.8,1.5,2.2,4.1,1.8,1.1,1.85,2.25,3.9,2.3,5.9,3.7,2.4,3.5,1.8,1.28,1.7,3.2,2.75,1.85,4.98,2.5,3,1,3.02,2.7,3.1,1.8,6.2,5.2,3.1,3.1,1.8,3.15,1.7,3.6,4.4,2.2,2.2,0.65,1.3,2.9,5.05,2.1,1.5,3.9,3.6,4.4,2.7,5,1.7,3.4,2.3,2.1,2.05,2,2.3,2.6,7,3.3,,2.5,2.5,1,2.5,,
June,,,,-999,4,2.3,4.9,4,1.3,2,5.9,2.4,4,3,2.7,0.3,1.1,3,1.4,2.3,2.3,2,4.5,2,1.3,2.5,3,3.2,2.4,4,1.8,3.2,3.2,3,,,,,,,4.6,1,3,3,3.3,1.5,4.3,5.2,2.6,0.06,3.7,3,2.8,2.1,1.3,0.5,1.9,4.5,1.8,2.6,1.35,1.72,5.1,2.2,0.7,3.2,3.3,2.25,0.9,2,1.08,0.5,2.2,1.6,2.3,0.5,3.5,3.7,4.9,2.8,2.45,5.05,1.5,1.95,2.25,3.25,1.4,2.7,5.05,1.8,0.75,1.15,1.1,3.4,3.1,3.55,2.25,4.7,4.55,1.2,2.1,2.4,2.3,1.65,3.05,2.1,,1.55,3.75,2.3,1.65,,
July,,,,4.1,3.5,3.1,2.9,2,4.6,,4,3.2,4.6,0.9,3.1,3.5,1.75,4.25,0.4,1.6,1.5,4,3,5.5,3.7,3.5,2,5.2,0.5,4,3,4.5,4.5,5.2,,,,,,,3.5,3.3,2.3,2.5,3.2,5.4,4.3,1.8,1.2,4.3,4.1,1.5,3.1,4.5,1.8,0.22,2,4.5,3.85,2.9,4.6,2.4,2.9,0.75,3.3,4.45,5.3,2.3,3.9,1.3,2.6,2.8,4.3,3.1,4.8,2.1,3.7,3.8,2.5,3.25,2.8,7,3,5.6,5.05,2.1,3.95,5.45,4,3.85,5.8,4.1,1.9,2.6,3.5,3.8,3.8,2.85,2.55,2.5,5.2,5.85,3,5.7,2.55,0.8,,4.45,4.95,3.6,3.4,,
August,,,,5,1.5,2.5,3.7,1.9,2.2,1.8,3.4,4.1,3.3,3.7,1.5,3.3,3,4,4.4,1.1,1.4,3.5,5,4,9,2,3,8.1,1.7,5.5,0.95,4.6,2.3,5.1,,,,,,,3.8,5.1,6.1,3.5,6,7,2.4,6.6,2.9,1.2,2.9,3.6,2.8,3.1,5.5,0.24,6.2,4.7,1.7,3.1,6.75,1.5,4.3,1,3.25,3.7,4.12,6.5,2.9,2.7,5.3,5.6,2.5,7.05,4.8,3.7,2.2,8.3,5.75,5.1,5.95,2.8,0.95,1.2,3.7,2.3,2.9,4.75,1.95,1.4,1.15,3.9,3.05,4.65,4.1,2.45,5.3,0,6.4,4,5,3.3,4.35,2.5,4.95,2.55,5.45,3.95,3.6,0.5,4.3,,
September,,,,7,1.9,0.5,6.5,4,3,3.8,1.1,6.1,2.6,4.1,4.4,0.2,3.62,2.9,3.7,6,3.7,2.6,5.5,4,3,3.5,4,1.9,3,3.5,3,3.3,3,2.5,,,,,,,4.5,5.9,2.3,1.5,0.2,1.6,4.2,3,3.3,2.3,2.01,2.2,1.07,1.11,2.8,1.95,1.7,1.9,10.15,2.55,1,2.5,3.45,2.85,0.5,2,1.65,2.1,4.3,2.9,2,2.6,2.6,3.6,4.6,3.4,4.7,6,3.9,1,4,1.6,3.05,2,2.8,4.4,3.9,1.8,3.6,2.5,2.6,1.05,4.15,3.4,3.1,4.7,5.5,2.45,3.9,1.6,6.4,2.45,1.8,4.15,4.8,2.55,3.35,1.6,4.73,0.85,1.95,,
October,,,,4,2,3,2.5,3,7,3.5,4.4,3.3,5.1,3.1,5.7,4.3,2.9,3,2,3.5,4,3.9,2,5,3.5,5.2,4,4.5,3.2,1.7,1.3,3.7,4.4,3.5,,,,,,,2.6,2.3,4.3,3.7,4,3.6,3.4,1.8,7,3.1,4.07,2.2,1.05,5.4,1.3,2.2,5.5,7.8,2.5,3.85,1.8,2.7,3,1.7,1.55,4.2,5.8,4,4.3,1.8,1.5,4.1,2.2,3.5,3.6,2.6,4.9,4.9,4.9,3.3,3.7,1.7,6.3,2.9,4.4,7,2.55,3.2,6,2.7,4.25,3.45,3.05,4.45,3.3,4.45,0.95,1.8,3.7,4.5,2.6,0.65,2.2,1.4,8.7,2.5,1.7,2.55,3.5,1.95,4.77,,
