BOSTON - NORTH SEA CAMP PRISON,,,,,,,,,
Grid ref,TF387400,Long,0.062,Lat,52.940,Elevation,12,ft,
Station no,2538/6,,,,,,,,
,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945
January,,2.49,4.20,1.71,2.99,2.28,4.31,2.12,2.64
February,,1.87,0.37,2.32,2.76,1.22,0.50,2.02,1.39
March,,0.33,1.84,1.78,3.64,1.53,0.71,0.21,0.66
April,,0.14,1.91,1.09,0.84,0.64,1.08,1.58,1.19
May,,1.96,0.78,1.72,2.09,2.12,2.50,1.28,
June,,0.91,1.81,0.85,0.43,1.25,1.56,2.61,
July,,2.12,1.97,3.75,4.53,2.54,1.70,1.72,
August,1.31,1.45,1.25,0.58,3.65,2.29,2.00,2.85,
September,1.62,2.38,0.76,0.71,0.85,1.39,1.82,4.01,
October,1.05,2.02,3.25,2.36,2.93,2.22,1.05,2.06,
November,2.00,0.89,3.56,4.14,3.06,2.63,1.97,3.32,
December,2.82,4.45,2.07,1.45,0.30,1.68,0.89,0.95,
Total,,21.01,23.77,22.46,28.07,21.79,20.09,24.73,
,,,,,,,,,
TYRain_1931-1940_15_pt1/107,,,,,,,,,
TYRain_1941-1950_17_pt1/190,,,,,,,,,
,,,,,,,,,
# The reading for March 1945 is part estimated and has been retained.,,,,,,,,,
