OLD DEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 978 477,Long,-2.03771,Lat,57.519304,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.87,3.26,1.7,1.45,3.07,1.32,2.61,1.7,1.88,1.25,2.14,1.66,1.65,3.41,1.76,2.8,2.2,2.04,1.13,2.16,1.16,3.58,2.52,2.21,4.47,1.48,3.91,1.47,
February,,4.14,3.62,1.49,2.1,1.66,5.06,3.31,0.73,1.64,3.42,3.64,0.95,3.6,1.41,2.42,1.79,0.97,2.31,3.4,1.4,0.53,2.86,3.27,2.86,2.21,1.12,0.6,2.44,
March,,0.65,2.64,2.08,2.54,1.91,4.41,2.45,3.36,2.26,1.47,1.74,1.99,3.2,4.72,2.11,1.68,1.81,3.87,2.23,3.42,3.62,1.12,0.63,0.42,3.31,2.18,3.86,2.58,
April,,3.69,3.02,1.43,1.13,1.72,3.18,3.52,0.6,2.92,2.91,0.99,2.78,1.59,1.38,1.78,1.9,2.66,2.14,3.3,1.31,0.48,1.64,1.12,0.79,1.54,1.37,2.05,4.43,
May,,0.89,4.75,2.81,1.51,1.63,0.9,3,2.21,3,0.66,2.49,1.3,1.54,1.17,3.77,3.19,1.15,1.6,1,2.51,2.52,2.54,0.98,3.98,0.34,1.41,1.36,2.76,
June,,1.11,4.69,1.17,1.24,2.39,1.39,3.83,2.01,2.14,1.92,3.18,3.59,1.07,1.29,0.93,1.44,0.64,2.46,0.53,1.97,0.33,2.05,2.57,1.23,2.47,2.29,3.33,1.14,
July,,2.63,1.92,3.46,1.75,4.54,1.98,3.46,1.17,3.19,3.38,3.69,2.89,4.09,2.44,1.48,2.29,2.1,4.31,4.62,5.08,2.56,3,3.23,3.64,3.04,3.05,1.05,1.29,
August,,2.41,3,5.15,4.33,2.57,2.31,6.37,4.45,3.8,0.36,2.92,2.23,2.97,2.53,3.21,1,2.1,1.79,3.84,3.32,5.1,3.51,2.4,3.76,3.26,1.83,3.39,3.26,
September,,2.53,6.84,5.12,1.56,5.99,3.56,1.94,3.16,2.26,3.37,1.58,2.9,4.18,1.51,4.55,1.73,3.34,1.85,2.07,1.92,4.53,2.39,3.84,1.32,1.17,5.2,2.89,1.39,
October,,3.95,5.48,3.61,3.84,5.68,3.2,2.27,3.34,1.64,5.35,3.86,4.14,2.91,3.97,3.25,2.1,3.78,2.67,3.51,4.38,2.15,6.79,3.09,3.62,7.85,5.54,2.99,3.93,
November,,3.32,4.78,3.56,4.43,4.47,4.63,5.41,5.19,2.81,2.81,1.88,5.15,2.51,4.2,2.41,2.37,3.12,3.68,2.53,6.54,3.12,2.86,4.11,1.17,2.83,1.35,2.08,3.63,
December,,1.86,3.51,1.38,3.92,2.18,8.53,3.4,6.32,0.86,4.72,1.75,6.61,2.57,1.87,3.09,4.82,4,1.58,2.02,2.9,2.25,1.48,2.47,2.75,5.3,6.98,3.1,2.95,
Total,,29.05,47.51,32.96,29.8,37.81,40.47,41.57,34.24,28.4,31.62,29.86,36.19,31.88,29.9,30.76,27.11,27.87,30.3,30.18,36.91,28.35,33.82,30.23,27.75,37.79,33.8,30.61,31.27,30
