"HELLYAR HOLM",,,,,,,,,,,,
Grid ref,HY484153,Long,-2.900428,Lat,59.021626,,,,,,,
Station no,5824,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.52,3.52,5.52,2.50,2.22,5.67,4.54,5.02,4.85,2.38,,
February,3.23,2.75,2.84,3.82,2.86,1.43,3.04,2.65,0.94,2.64,,
March,3.13,3.46,1.30,1.84,1.52,1.76,3.78,2.01,1.18,1.26,,
April,3.85,0.61,3.06,1.77,1.04,1.08,1.48,1.32,2.11,2.72,,
May,0.19,2.20,1.93,2.24,1.75,2.19,1.87,3.22,1.69,0.94,,
June,1.12,2.95,1.65,4.08,0.81,2.24,1.95,0.76,2.09,2.66,,
July,2.67,1.32,1.33,1.85,0.14,3.56,3.46,1.86,2.24,1.31,,
August,3.20,4.69,2.45,1.89,0.78,2.48,3.62,2.04,1.67,1.32,,
September,1.26,3.43,3.19,3.50,3.74,2.75,3.33,0.86,1.01,1.69,,
October,2.09,3.17,2.17,6.29,4.15,3.66,5.11,3.92,5.19,3.57,,
November,6.60,4.24,4.88,4.23,1.18,3.38,3.29,1.98,4.69,3.02,,
December,3.57,4.34,2.61,6.04,8.06,5.40,4.92,5.10,4.41,3.81,,
Total,33.43,36.68,32.93,40.05,28.25,35.60,40.39,30.74,32.07,27.32,,
Calc annual,33.43,36.68,32.93,40.05,28.25,35.60,40.39,30.74,32.07,27.32,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
