"TIGHNABRUAICH, CRAIGANDARAICH",,,,,,,,,,,,
Grid ref,NR975723,Long,-5.240720,Lat,55.901093,,,,,,,
Station no,RR2736,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.20,4.20,5.03,6.61,6.59,4.77,6.38,3.71,,,,
February,2.70,2.67,1.60,7.17,4.62,5.33,5.62,4.28,,,,
March,0.62,2.82,4.64,7.64,3.58,6.01,4.88,5.99,,,,
April,3.82,4.58,1.69,2.06,5.88,3.00,3.01,2.28,,,,
May,4.29,2.09,3.59,3.21,3.96,2.84,6.25,4.13,,,,
June,4.10,4.17,1.27,2.36,2.13,0.72,2.03,5.19,,,,
July,4.72,1.35,4.57,4.32,3.71,3.77,3.88,4.65,,,,
August,4.67,4.33,3.75,8.77,4.39,6.13,4.55,5.92,,,,
September,4.96,3.42,6.32,3.70,6.03,3.86,4.59,3.19,,,,
October,5.89,7.52,3.74,9.20,2.89,5.06,8.00,6.90,,,,
November,6.97,5.85,4.69,5.13,5.24,5.93,5.34,5.32,5.09,,,
December,8.54,5.03,5.47,4.35,5.62,4.03,6.89,7.07,7.17,,,
Total,59.48,48.03,46.36,64.52,54.64,51.45,61.42,58.63,,,,
Calc annual,59.48,48.03,46.36,64.52,54.64,51.45,61.42,58.63,12.26,0.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
