DUNDONALD (MOYARD),,,,,,,,,,
Grid ref,IJ412730,Long,-5.816366,Lat,54.585673,Elevation,200,ft,,
Station no,6205/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.51,1.05,2.58,3.85,3.73,4.07,3.82,1.71,3.87
February,,0.37,1.04,3.42,2.99,0.93,2.51,4.06,0.75,2.86
March,,1.22,0.3,3.96,1.54,1.47,2.83,1.8,2.82,2.61
April,,1.76,1.39,0.53,1.99,0.71,1.01,1.37,2.32,4.01
May,,1.19,2.01,3.81,2.71,1.08,2.66,2.77,1.51,2.15
June,,2.41,2.13,2.45,4.97,3.25,0.76,5.15,2.71,2.02
July,,1.32,5.2,3.28,1.4,3.35,4.31,4.24,2.1,5.18
August,,4.89,2.64,3.69,1.6,6.66,4.19,3.8,1.11,5.12
September,,1.45,2.68,4.02,2.75,4.15,4.78,5.44,1.26,3.3
October,,4.1,2.61,4.95,2.34,1.76,3.24,2.09,3.45,5.44
November,,2.76,3.66,6.63,3.46,1.52,1.46,1.9,3.32,4.82
December,,3.64,2.76,4.73,5.45,3.98,4.74,5.13,5.12,1.95
Total,,28.62,27.47,44.05,35.05,32.59,36.56,41.57,28.18,43.33
