DUFFUS HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ176685,Long,-3.384119,Lat,57.698737,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.25,1.77,1.11,2.93,0.48,1.46,0.84,1.45,1.67,2.12,2.28,1.01,1.51,0.41,2.29,1.85,1.98,2.77,3.17,2.85,2.18,2.77,1.63,2.34,1.5,1.76,1.72,2.12,3,0.6,1.45
February,2.07,2.22,0.97,2.18,2.4,2.21,2.12,1.25,2.11,1.21,1.03,1.8,2.14,1.4,1.18,1.63,2.92,0.85,1.7,1.09,1.82,0.62,1.66,1.99,0.97,2.74,1.66,1.22,1.32,0.7,0.95
March,2.09,1.37,2.3,1.49,0.81,3.38,2.22,1.17,2.36,3.54,0.94,1.06,2.02,3.36,2.28,2.77,1.89,1.36,0.86,1.67,3.05,1.9,2.1,0.41,1.34,1.53,1.52,1.43,1.26,0.35,0.84
April,1.73,1.33,0.55,1.72,1.8,2.11,1.86,1.42,1.9,2.08,4.77,1.79,1.65,1.18,0.59,2.37,2.02,2.54,1.59,2.68,1.63,0.87,3.34,1.95,0.56,1.47,2.41,2.43,0.76,1.73,1.28
May,0.72,1.49,1.7,1.85,1.57,1.68,3.49,1.8,1.43,1.96,1.76,2.32,3.28,1.31,3.01,1.01,3.47,1.54,2.17,0.32,1.85,2.56,1.75,3.11,3.46,2.35,2.24,2.36,1.43,1.62,1.15
June,1.45,2.05,2.66,1.57,1.23,0.58,1.08,5.09,1.24,1.57,0.99,1.48,2.76,2.71,2.04,0.8,4.91,2.52,1.53,2.08,1.01,1.15,1.01,2.26,1.83,0.7,2.22,3.58,2.95,2.48,1.17
July,3.14,3.7,3.45,4.3,0.26,1.93,2.13,2.55,1.82,1.58,4.57,2.47,1.91,0.62,3.68,4.3,2.88,1.22,6.16,1.22,2.02,2.41,3.22,1.96,3.36,2.38,2.28,1.74,2.35,1.95,2.22
August,3.72,2,1.62,4.06,3.03,2.8,3.11,2.57,1.58,1.72,3.83,0.67,4.75,0.89,2.46,2.28,1.8,3.04,2.18,2.97,2.27,2.91,2.1,5.36,4.13,1.25,2.21,1.45,2.23,4.08,3.79
September,1.8,1.04,1.55,1.14,2.19,2.02,1.66,0.69,3.85,1.93,0.95,1.13,1.04,3.24,1.84,3.99,0.98,1.99,3.65,2.76,2.85,1.47,2.48,2.88,4.32,4.5,2.19,5.88,3.17,1.5,4.23
October,3.01,2.42,2.58,3.51,1.38,4.09,3.52,3.87,0.89,2.91,1.66,2.41,1.91,1.02,1.66,0.87,3.8,4.95,1.48,2.59,0.56,2.04,1.21,3.5,3.51,2.52,2.92,4.66,1.44,3.29,3.71
November,3.24,3.56,0.31,2.71,1.94,3.74,5.87,1.56,1.87,2.44,4.88,5.3,2.04,2.37,3.24,3.28,1.92,5.54,1.62,4.03,1.4,1.04,2.02,3.28,1.37,1.7,1.81,2.55,3.02,1.46,4.11
December,3.56,3.58,3.03,1.12,2.57,0.83,1.82,1.39,0.68,2.24,1.63,2.36,2.33,2.39,2.93,3.12,1.78,1.63,2.24,1.88,1.19,3.4,1.42,2.32,1.51,1.79,1.64,0.89,2.06,2.18,1.79
Total,29.78,26.53,21.83,28.58,19.66,26.83,29.72,24.81,21.4,25.3,29.29,23.8,27.34,20.9,27.2,28.27,30.35,29.95,28.35,26.14,21.83,23.14,23.94,31.36,27.86,24.69,24.82,30.31,24.99,21.94,26.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-40 Blank sheet deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
