FALSTONE (HOPE HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NY684805,Long,-2.4969721,Lat,55.117875,Elevation,1027,ft,,,,,,,,,,,,
Station no,3577/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.32,4.16,3.15,3.42,,,,,,,,,
February,,,,,,,,4.36,3.22,3.63,1.37,,,,,,,,,
March,,,,,,,,2.96,1.66,1.71,1.81,,,,,,,,,
April,,,,,,,,3.28,3.96,2.61,,,,,,,,,,
May,,,,,,,,1.57,1.09,1.69,,,,,,,,,,
June,,,,,,,,4.24,0.2,3.26,,,,,,,,,,
July,,,,,,,6.74,1.95,2.98,5.01,,,,,,,,,,
August,,,,,,,0.42,7.7,2.66,6.65,,,,,,,,,,
September,,,,,,,3.35,6.19,1.14,6.92,,,,,,,,,,
October,,,,,,,1.42,4.43,5.81,2.5,,,,,,,,,,
November,,,,,,,7.68,3.98,5.49,4.97,,,,,,,,,,
December,,,,,,,3.15,2.38,7.04,8.91,,,,,,,,,,
Total,,,,,,,,52.36,39.41,51.01,,,,,,,,,,
