FALSTONE (HOPE HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3577/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,,9.32,4.16,3.15,,
February,,,,,,,,4.36,3.22,3.63,,
March,,,,,,,,2.96,1.66,1.71,,
April,,,,,,,,3.28,3.96,2.61,,
May,,,,,,,,1.57,1.09,1.69,,
June,,,,,,,,4.24,0.20,3.26,,
July,,,,,,,6.74,1.95,2.98,5.01,,
August,,,,,,,0.42,7.70,2.66,6.65,,
September,,,,,,,3.35,6.19,1.14,6.92,,
October,,,,,,,1.42,4.43,5.81,2.50,,
November,,,,,,,7.68,3.98,5.49,4.97,,
December,,,,,,,3.15,2.38,7.04,8.91,,
Total,,,,,,,,52.36,39.41,51.01,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.76,52.36,39.41,51.01,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
