GRANGE-OVER-SANDS MERLEWOOD,,,,,,,,,,,,,,,,,,,,
Grid ref,SD409796,Long,-2.90763,Lat,54.208716,Elevation,280,ft,,,,,,,,,,,,
Station no,RR7033,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,5.61,2.32,6.09,2.07,5.68,3.02,4.08,2.14,3.75,4.58,,,,,,
February,,,,,3.21,2.7,3.29,3.16,2.98,3.03,5.73,6.21,3.53,3.03,,,,,,
March,,,,,3.69,4.42,3.67,4.7,3.8,4.23,1.7,1.62,7.09,3.98,,,,,,
April,,,,,4.42,4.79,1.85,2.43,2.02,4.48,2.36,3.7,1.12,5.25,,,,,,
May,,,,,3.09,1.71,6.81,5.66,5.08,2.04,2.63,0.94,2.46,2.72,,,,,,
June,,,,,1.46,3.11,3.11,8.43,3.12,2.82,1.88,2.97,7.16,3.02,,,,,,
July,,,,,2.02,2.57,3.14,5.07,5.19,6.87,3.93,0.57,5.99,1.21,,,,,,
August,,,,,3.57,5.06,5.91,5.56,4.45,3.98,7.22,2.88,7.13,2.37,,,,,,
September,,,,,3.09,3.94,1.46,0.98,7.28,3.88,0.69,4.66,2.03,2.76,,,,,,
October,,,,,3.89,3.39,6.79,6.97,2.95,8.56,1.42,7.2,6.58,3.73,,,,,,
November,,,,,3.96,4.98,4.62,5.18,4.72,2.46,7.11,6.6,6.5,4.74,,,,,,
December,,,,,4.66,2.12,4.21,7.55,3.43,9.58,4.24,7.76,6.02,3.4,,,,,,
Total,,,,,42.67,41.11,50.95,57.76,50.7,54.95,42.99,47.25,59.36,40.79,,,,,,
