"GLASGOW KELVIN GROVE PARK",,,,,,,,,,,,
Grid ref,NS572666,Long,-4.283796,Lat,55.871342,,,,,,,
Station no,5178,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.52,2.87,3.10,7.08,3.53,2.13,4.34,2.52,3.87,4.97,,
February,2.95,1.45,1.29,6.25,2.36,2.47,2.58,3.01,2.42,1.72,,
March,0.51,2.41,2.59,7.05,1.40,3.17,3.41,4.03,3.65,2.83,,
April,2.08,2.50,0.84,1.24,4.22,2.37,1.14,1.73,1.16,3.21,,
May,2.11,1.64,2.15,2.70,3.19,1.56,4.17,3.49,3.17,2.25,,
June,2.75,3.47,1.98,1.94,1.77,0.74,1.56,3.97,2.32,3.38,,
July,2.87,2.48,2.59,2.96,3.73,2.64,2.31,3.26,1.97,3.23,,
August,4.75,3.42,2.35,5.91,3.60,3.83,5.01,4.54,2.71,3.00,,
September,3.50,2.83,2.86,3.76,3.21,3.01,1.98,1.30,4.99,1.57,,
October,4.92,3.81,1.85,7.48,1.78,2.27,4.84,6.63,1.74,5.51,,
November,5.70,2.85,2.43,2.96,2.01,3.34,4.07,2.07,2.56,2.18,,
December,7.18,3.99,4.46,2.77,3.39,3.33,3.79,4.99,2.85,4.80,,
Total,43.84,33.72,28.49,52.10,34.19,30.86,39.20,41.54,33.41,38.65,,
Calc annual,43.84,33.72,28.49,52.10,34.19,30.86,39.20,41.54,33.41,38.65,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
