"KINGS LYNN MANURE WORKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1473,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.65,2.26,1.82,1.70,2.85,0.88,3.46,1.64,3.84,1.91,1.65,
February,0.76,0.53,2.36,2.97,1.23,2.50,1.97,2.16,1.29,0.35,0.74,
March,1.87,1.05,2.10,1.59,0.58,1.33,0.51,2.01,1.31,0.18,1.54,
April,3.30,1.41,2.05,1.40,1.87,2.77,1.68,2.03,1.45,0.70,2.32,
May,1.85,0.94,0.83,1.27,3.69,2.70,2.48,0.82,1.91,1.60,2.66,
June,2.81,0.94,1.49,0.63,2.00,0.59,2.68,4.29,2.62,1.06,1.36,
July,3.43,0.31,4.15,3.46,1.98,1.67,1.12,1.83,2.07,3.33,5.90,
August,2.47,1.51,2.56,1.80,1.70,2.55,1.01,2.60,1.34,0.62,2.63,
September,2.57,0.93,2.79,2.12,3.05,3.69,1.50,2.56,0.53,0.40,3.25,
October,1.70,1.19,1.24,3.30,4.59,2.55,1.96,2.11,2.94,2.82,0.68,
November,0.88,1.41,1.34,2.14,2.43,2.49,3.02,2.71,2.35,3.98,3.00,
December,2.16,1.14,2.75,3.26,1.67,2.17,0.44,1.37,1.91,4.30,1.84,
Total,25.45,13.62,25.48,25.64,27.64,25.89,21.83,26.13,23.56,21.25,27.57,
Calc annual,25.45,13.62,25.48,25.64,27.64,25.89,21.83,26.13,23.56,21.25,27.57,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
