"KINGS LYNN (MANURE WORKS)",,,,,,,,,,,,
Grid ref,TF626189,Long,0.407290,Lat,52.743270,,,,,,,
Station no,1473,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.49,1.91,0.95,1.68,1.95,3.65,1.51,2.07,3.08,2.91,,
February,2.15,0.61,1.50,1.91,2.32,1.19,3.06,3.58,0.11,1.32,,
March,3.39,2.31,0.83,2.39,1.92,0.74,1.80,0.90,1.71,0.94,,
April,2.85,1.47,2.07,0.20,0.63,0.87,0.24,0.64,1.12,0.54,,
May,2.14,2.20,1.11,2.63,2.26,0.79,1.47,3.25,0.79,0.57,,
June,1.00,1.03,4.09,1.83,1.85,2.05,2.09,3.03,0.60,1.30,,
July,0.96,0.55,1.75,1.89,0.27,2.14,1.33,4.67,2.17,2.72,,
August,3.54,2.29,2.48,4.27,0.48,4.53,1.86,2.13,1.87,2.65,,
September,2.01,2.54,1.23,2.07,1.01,1.22,3.37,2.79,0.03,2.00,,
October,1.48,1.87,2.62,2.22,2.06,1.19,1.31,1.61,2.30,4.62,,
November,3.64,2.67,1.64,4.03,1.16,0.95,1.10,1.14,1.40,3.19,,
December,1.26,1.92,0.96,1.68,1.35,1.78,1.76,2.82,4.06,4.19,,
Total,26.91,21.37,21.23,26.80,17.26,21.10,20.90,28.63,19.24,26.95,,
Calc annual,26.91,21.37,21.23,26.80,17.26,21.10,20.90,28.63,19.24,26.95,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
